,exact_matches,partial_matches,cosine_sim_truth,missing_from_truth,len_summ,len_truth,total_inserted,try_count,average_of_mean_max_cos_to_sentence,no_ids,truth_set,summ_set,max_cos_to_sentence_tuples,misperid
0,0,1,0,1,5,2,4,1,0.45583468675613403,2,"{'believed to be camping', 'personality changes before disappearance'}","{'disappearance in a location with residential or domestic settings', 'disappearance during or after a planned activity', 'disappearance in a location with outdoor recreational activities', 'disappearance in a group setting', 'disappearance near a location of interest'}","[('disappearance during or after a planned activity', 'Prior to her disappearance', np.float32(0.5226214)), ('disappearance during or after a planned activity', 'possibly contributing to her unexpected disappearance', np.float32(0.5282534)), ('disappearance near a location of interest', 'Her last known whereabouts before vanishing were near Carmelite Street', np.float32(0.46293715)), ('disappearance near a location of interest', 'possibly contributing to her unexpected disappearance', np.float32(0.5023806)), ('disappearance in a group setting', 'possibly contributing to her unexpected disappearance', np.float32(0.41038465)), ('disappearance in a location with outdoor recreational activities', 'Trace operations by police confirmed Kate had been in the area with a group of friends who were similarly interested in outdoor adventures', np.float32(0.39332247)), ('disappearance in a location with residential or domestic settings', 'was reported missing from her home on Craigour Road', np.float32(0.49251482)), ('disappearance in a location with residential or domestic settings', 'possibly contributing to her unexpected disappearance', np.float32(0.44222498))]",42
1,0,2,1,2,5,5,3,1,0.48024997115135193,5,"{'visiting remote island', 'personality changes before disappearance', 'contacted a stranger before vanishing', 'domestic violence escape', 'left phone at home'}","{'disappearance with a known companion', 'disappearance with a history of escaping or seeking refuge', 'disappearance by unplanned departure', 'disappearance from a familiar location', 'disappearance with a history of domestic violence'}","[('disappearance by unplanned departure', 'On the morning she was reported missing', np.float32(0.5179191)), ('disappearance by unplanned departure', 'on the day she vanished', np.float32(0.48093826)), ('disappearance by unplanned departure', 'She was returned safely and without harm after being located', np.float32(0.43019754)), ('disappearance by unplanned departure', 'she vanished', np.float32(0.5411555)), ('disappearance by unplanned departure', 'Charlotte Saunders left her phone at home during a child custody-related visit to a remote island', np.float32(0.35194725)), ('disappearance from a familiar location', ""Charlotte was later found safe by police at an acquaintance's residence and returned to her foster guardians"", np.float32(0.3050377)), ('disappearance from a familiar location', 'which led investigators to suspect their destination involved another known address', np.float32(0.4320707)), ('disappearance from a familiar location', 'disappeared from her home on Ruthven Road', np.float32(0.4440334)), ('disappearance from a familiar location', 'Charlotte Saunders vanished one morning from her foster home on Ruthven Road', np.float32(0.32825878)), ('disappearance from a familiar location', 'Friends and family noticed personality changes in the weeks leading up to her disappearance', np.float32(0.4426816)), ('disappearance with a known companion', 'on the day she vanished', np.float32(0.54613805)), ('disappearance with a known companion', 'She was returned safely and without harm after being located', np.float32(0.473393)), ('disappearance with a known companion', 'The specific circumstances leading to her disappearance remain unclear', np.float32(0.6021193)), ('disappearance with a known companion', 'One report indicated that she contacted a stranger before vanishing', np.float32(0.5442719)), ('disappearance with a known companion', 'experienced notable personality changes leading up to her disappearance', np.float32(0.6141635)), ('disappearance with a history of domestic violence', 'escaping domestic violence', np.float32(0.6830362)), ('disappearance with a history of domestic violence', 'She was returned safely and without harm after being located', np.float32(0.46165243)), ('disappearance with a history of domestic violence', 'possibly escaping domestic violence with friend Mandy Farmer', np.float32(0.49737072)), ('disappearance with a history of domestic violence', 'Charlotte fled to a national park to escape domestic violence', np.float32(0.49768424)), ('disappearance with a history of domestic violence', 'displaying unusual behavior after recent travel-related stress', np.float32(0.2255924)), ('disappearance with a history of escaping or seeking refuge', 'having sought refuge due to personal distress', np.float32(0.6634335)), ('disappearance with a history of escaping or seeking refuge', 'Before her disappearance', np.float32(0.4915053)), ('disappearance with a history of escaping or seeking refuge', 'experienced notable personality changes leading up to her disappearance', np.float32(0.54411876)), ('disappearance with a history of escaping or seeking refuge', 'suggesting she had indeed sought refuge to reclaim her sense of safety', np.float32(0.4848176)), ('disappearance with a history of escaping or seeking refuge', 'informed the authorities when she did not return home', np.float32(0.40271387))]",51
2,0,2,0,0,5,2,3,1,0.4053686261177063,3,"{'lost while hiking', 'disconnected from support services'}","{'venturing alone', 'hiking in wilderness', 'elevator disappearance', 'separation in crowded areas', 'disconnection from support services'}","[('disconnection from support services', 'Karen was known to occasionally disconnect from support services', np.float32(0.6001494)), ('disconnection from support services', 'Disconnected from her support services', np.float32(0.61135626)), ('disconnection from support services', 'After several hours with no contact', np.float32(0.24425326)), ('disconnection from support services', 'Karen exhibited signs of being disconnected from support services', np.float32(0.53186864)), ('disconnection from support services', 'Karen is disconnected from support services', np.float32(0.551346)), ('elevator disappearance', 'The group then decided to take an elevator down to the street level', np.float32(0.6007924)), ('elevator disappearance', 'Karen Smith went missing after boarding an elevator at a travel hub', np.float32(0.58703774)), ('elevator disappearance', 'They intended to explore the trails accessible via a short elevator ride from their starting point at her home near Railway Pier in Oban', np.float32(0.3878454)), ('hiking in wilderness', 'aiming to hike in the wilderness nearby', np.float32(0.88781357)), ('hiking in wilderness', 'she was last seen hiking in a nearby wilderness area', np.float32(0.6573618)), ('hiking in wilderness', 'Karen Smith went missing after planning a hiking excursion in the wilderness with her friend', np.float32(0.44345224)), ('hiking in wilderness', 'She was found physically safe', np.float32(0.1562708)), ('separation in crowded areas', 'The group then decided to take an elevator down to the street level', np.float32(0.20420684)), ('venturing alone', 'family members linked her fondness for solitude to feelings of being overwhelmed', np.float32(0.3423101)), ('venturing alone', 'Karen attempted to navigate the dense forest alone and lost her way', np.float32(0.18891318)), ('venturing alone', 'but initially proved fruitless', np.float32(0.22895193))]",157
3,0,1,0,3,5,4,4,1,0.47647160291671753,3,"{'contacted a stranger before vanishing', 'interested in hermit lifestyle', 'possible sea kayaking accident', 'did not collect medication'}","{'disappearance due to personal stress or seeking solitude', 'disappearance in an alleyway or secluded area', 'disappearance near water bodies', 'disappearance after contacting a stranger', 'disappearance in or near an orchard'}","[('disappearance near water bodies', 'noted that prior to his disappearance', np.float32(0.31252772)), ('disappearance near water bodies', ""A possible sea kayaking accident was initially suspected when his kayak was found adrift along the marina's edge"", np.float32(0.40361777)), ('disappearance near water bodies', 'His kayak was found adrift', np.float32(0.3697995)), ('disappearance near water bodies', 'went missing from his home on Caledonian Road', np.float32(0.29474905)), ('disappearance near water bodies', 'He had planned a sea kayaking trip but did not return as expected', np.float32(0.35600352)), ('disappearance near water bodies', 'was last seen by his brother at a dock near 200 Dunkeld Road', np.float32(0.3227287)), ('disappearance in or near an orchard', 'Mohammad Arnold went missing near an orchard on Caledonian Road after a visit with his brother', np.float32(0.4603343)), ('disappearance in or near an orchard', 'Witnesses last saw him near an orchard in the vicinity of Balmoral Road', np.float32(0.49120164)), ('disappearance in or near an orchard', 'went missing from his home at Caledonian Road', np.float32(0.30604237)), ('disappearance in or near an orchard', 'where he frequently admired the orchard landscapes', np.float32(0.53012645)), ('disappearance in an alleyway or secluded area', 'His disappearance raised concerns and his family', np.float32(0.35539496)), ('disappearance in an alleyway or secluded area', 'Mohammad ventured alone and was later seen entering an alleyway connecting the area', np.float32(0.49668634)), ('disappearance in an alleyway or secluded area', 'which included the area around the orchard and an alleyway nearby', np.float32(0.4902495)), ('disappearance after contacting a stranger', 'suggesting he may have sought solitude after contacting the stranger', np.float32(0.6912408)), ('disappearance after contacting a stranger', 'The sudden contact with an unknown individual prompted an investigation', np.float32(0.576257)), ('disappearance after contacting a stranger', 'went missing from his home on Caledonian Road', np.float32(0.40951407)), ('disappearance after contacting a stranger', 'Mohammad had contacted a stranger shortly before he vanished', np.float32(0.62825143)), ('disappearance after contacting a stranger', 'Reports indicated that Mohammad contacted a stranger shortly before vanishing', np.float32(0.58195555)), ('disappearance due to personal stress or seeking solitude', 'where it was discovered he had been seeking solitude due to personal stress', np.float32(0.68634486)), ('disappearance due to personal stress or seeking solitude', 'His disappearance raised concerns and his family', np.float32(0.5578053)), ('disappearance due to personal stress or seeking solitude', 'pursuing a recluse life he seemed to have desired', np.float32(0.45776984))]",190
4,0,3,0,3,5,6,2,1,0.42886894941329956,3,"{'travelled without telling family', 'avoiding social services', 'part of survivalist community', 'withdrew cash before leaving', 'sudden religious conversion', 'illegal employment status'}","{'disappearance near mines', 'disappearance after leaving workplace', 'disappearance after sudden religious conversion', 'disappearance near hunting areas', 'traveling without notification'}","[('traveling without notification', 'discovered Elaine absent from a volunteer organization', np.float32(0.12285631)), ('traveling without notification', 'It was discovered that Elaine often traveled without informing her family', np.float32(0.2852336)), ('traveling without notification', 'was last seen leaving the family home at 484 Perth Road without informing anyone of her whereabouts', np.float32(0.2600416)), ('traveling without notification', 'the situation became more urgent as she did not return home', np.float32(0.22749291)), ('traveling without notification', 'Known for traveling without informing her family', np.float32(0.5104788)), ('traveling without notification', 'becoming disoriented or lost', np.float32(0.36536905)), ('disappearance near hunting areas', 'Last seen heading towards a nearby hunting area with uncle John Blake', np.float32(0.54525614)), ('disappearance near hunting areas', 'Elaine Hall was last seen at a nearby hunting area after withdrawing cash', np.float32(0.38680667)), ('disappearance near hunting areas', 'and was avoiding social services before reappearing', np.float32(0.18062481)), ('disappearance near hunting areas', ""Elaine Hall last seen leaving her uncle's mine near 33 Blackness Ave"", np.float32(0.13259423)), ('disappearance near hunting areas', 'Inquiries revealed that Elaine also intended to visit a hunting area near Brechin', np.float32(0.40079886)), ('disappearance near mines', 'Elaine Hall was last seen near a mine close to her workplace at 484 Perth Road', np.float32(0.34290677)), ('disappearance near mines', 'Further investigation revealed Elaine had headed to the mines near 11 Panmure Terrace', np.float32(0.49935484)), ('disappearance near mines', ""Elaine Hall last seen leaving her uncle's mine near 33 Blackness Ave"", np.float32(0.24084562)), ('disappearance after sudden religious conversion', 'she suddenly converted to a new religion', np.float32(0.6527518)), ('disappearance after sudden religious conversion', 'coinciding with her sudden religious conversion', np.float32(0.6622219)), ('disappearance after sudden religious conversion', 'prompting concerns as she had recently undergone a sudden religious conversion', np.float32(0.6385178)), ('disappearance after sudden religious conversion', 'dealing with a sudden religious conversion', np.float32(0.7880372)), ('disappearance after sudden religious conversion', 'Elaine Hall vanished after a sudden religious conversion', np.float32(0.6646882)), ('disappearance after leaving workplace', 'was reported missing after she left her home on Perth Road', np.float32(0.47407925)), ('disappearance after leaving workplace', 'She was supposed to finish her shift and return home but failed to do so', np.float32(0.38868457)), ('disappearance after leaving workplace', 'Elaine left her workplace at the organization without informing anyone of her whereabouts', np.float32(0.5700493))]",212
5,0,1,0,0,5,1,4,1,0.4716039299964905,4,{'possible boating incident'},"{'disappearance via unfamiliar routes', 'disappearance near abandoned buildings', 'disappearance due to boating incidents', 'disappearance in snowy conditions', 'disappearance due to getting lost'}","[('disappearance via unfamiliar routes', 'a neighbor recalled seeing him near an abandoned building and expressed concerns about a possible boating incident he might have tried', np.float32(0.3222061)), ('disappearance via unfamiliar routes', 'While Stewart was familiar with the routes', np.float32(0.38515925)), ('disappearance via unfamiliar routes', 'Authorities believe he inadvertently traveled further than intended', np.float32(0.55496657)), ('disappearance via unfamiliar routes', 'A broken-down vehicle was found nearby', np.float32(0.3484183)), ('disappearance via unfamiliar routes', 'A possible boating incident led to his disappearance', np.float32(0.50572)), ('disappearance near abandoned buildings', 'a neighbor recalled seeing him near an abandoned building and expressed concerns about a possible boating incident he might have tried', np.float32(0.5052533)), ('disappearance near abandoned buildings', ""Concerns grew due to Stewart's propensity to wander into deserted areas and his known interest in local abandoned buildings"", np.float32(0.5083006)), ('disappearance near abandoned buildings', 'Police efforts were heightened given his disability and his tendency to wander into urban areas around abandoned buildings', np.float32(0.46934146)), ('disappearance near abandoned buildings', 'Stewart Hammond was last seen by a friend near an abandoned building on his regular walking route', np.float32(0.4954856)), ('disappearance near abandoned buildings', 'Since his disappearance', np.float32(0.3669915)), ('disappearance due to boating incidents', 'sparking concerns of a possible boating incident when he failed to return', np.float32(0.6613424)), ('disappearance due to boating incidents', 'leading police to suspect a possible boating incident', np.float32(0.6241074)), ('disappearance due to boating incidents', ""There was speculation about a possible boating incident as some of Stewart's belongings were later found near a derelict boat moored close to Discovery Quay"", np.float32(0.5393057)), ('disappearance in snowy conditions', 'His preference for snowy regions was noted as a factor in his unexpected route', np.float32(0.54103315)), ('disappearance in snowy conditions', 'was last seen leaving the community center in the snow-covered area of Dundee', np.float32(0.40684843)), ('disappearance in snowy conditions', 'Search efforts also covered snow areas around 12 South Esk Road', np.float32(0.45781544)), ('disappearance in snowy conditions', 'where he had taken shelter after losing his way in the snow', np.float32(0.58974683)), ('disappearance in snowy conditions', 'was reported missing from his home on 2 Dalgleish Road', np.float32(0.29545134)), ('disappearance due to getting lost', 'A broken-down vehicle was found nearby', np.float32(0.3666971)), ('disappearance due to getting lost', 'Stewart Hammond was reported missing from his home at 2 Dalgleish Road', np.float32(0.39706331)), ('disappearance due to getting lost', 'Since his disappearance', np.float32(0.48208207)), ('disappearance due to getting lost', 'unharmed but disoriented', np.float32(0.3510385))]",253
6,0,2,1,3,5,6,3,1,0.3326282799243927,4,"{'believed to be squatting', 'abduction suspicion', 'possible sea kayaking accident', 'believed to be homeless', 'known to frequent remote areas', 'recent discharge from care facility'}","{'following a lead or trail', 'unplanned exploration', 'navigating isolated areas', 'detour or misdirection', 'squatting or homelessness'}","[('detour or misdirection', 'The reasons for her detour remain unclear', np.float32(0.5831118)), ('detour or misdirection', 'where she had taken refuge', np.float32(0.24799484)), ('unplanned exploration', 'Given her known curiosity and interest in adventure', np.float32(0.42068666)), ('unplanned exploration', 'Kelly later mentioned the allure of adventure and curiosity irresistibly drew her to the mysterious depths of the bunker', np.float32(0.3763981)), ('unplanned exploration', 'Speculation suggested a possible sea kayaking accident', np.float32(0.16709629)), ('unplanned exploration', 'Known to frequent remote areas', np.float32(0.27474266)), ('unplanned exploration', 'a location that borders expansive and isolated landscapes', np.float32(0.40667894)), ('squatting or homelessness', 'It was believed she might have been squatting in an underground bunker linked to a nearby volunteer organization', np.float32(0.3588485)), ('following a lead or trail', ""it wasn't until police followed a lead to 60 South William Street"", np.float32(0.3200199)), ('navigating isolated areas', 'Perth', np.float32(0.18203723)), ('navigating isolated areas', 'Kelly Farmer explored 53 Cultybraggan Camp with Denis Ward', np.float32(0.21561536)), ('navigating isolated areas', 'staying in an underground bunker for unknown reasons', np.float32(0.26824623)), ('navigating isolated areas', 'Reports indicate she may be navigating these areas in distress', np.float32(0.29249763))]",266
7,0,0,0,2,5,2,5,1,0.3589409291744232,4,"{'recently moved to area', 'estranged from relatives'}","{'retreating to a secluded location for solace', 'boarding the wrong bus or ferry', 'disembarking at an incorrect location', 'disorientation due to unfamiliar surroundings', 'getting lost while walking or hiking'}","[('disorientation due to unfamiliar surroundings', 'With the assistance of locals familiar with the area', np.float32(0.3100286)), ('disorientation due to unfamiliar surroundings', 'appearing disoriented but unharmed', np.float32(0.61800927)), ('disorientation due to unfamiliar surroundings', 'estranged from relatives', np.float32(0.21765718)), ('disorientation due to unfamiliar surroundings', 'understandably disoriented but unharmed', np.float32(0.53787446)), ('disorientation due to unfamiliar surroundings', 'having mistakenly traveled to this area', np.float32(0.40420204)), ('disorientation due to unfamiliar surroundings', 'Her concerned brother attempted to contact her and learned she had not been seen for some time', np.float32(0.18316206)), ('disorientation due to unfamiliar surroundings', 'having safely disembarked and taken refuge at a distant location', np.float32(0.34404388)), ('disorientation due to unfamiliar surroundings', 'having lost her way due to confusion', np.float32(0.36057064)), ('disorientation due to unfamiliar surroundings', 'appearing confused likely due to her dementia', np.float32(0.33538264)), ('disorientation due to unfamiliar surroundings', 'was found disoriented at a bus stop while waiting for a child custody-related meeting', np.float32(0.36326632)), ('disorientation due to unfamiliar surroundings', 'was found disoriented at a cabin', np.float32(0.59977114)), ('disembarking at an incorrect location', 'Her peaceful demeanor upon being found suggested she lost track of time during her hike', np.float32(0.18822344)), ('disembarking at an incorrect location', 'appearing disoriented but unharmed', np.float32(0.36962715)), ('disembarking at an incorrect location', 'estranged from relatives', np.float32(0.15831175)), ('disembarking at an incorrect location', 'understandably disoriented but unharmed', np.float32(0.346592)), ('disembarking at an incorrect location', 'ensuring her safe return', np.float32(0.19274339)), ('disembarking at an incorrect location', 'having safely disembarked and taken refuge at a distant location', np.float32(0.45651382)), ('disembarking at an incorrect location', 'leading to concerns when she failed to disembark', np.float32(0.36810622)), ('getting lost while walking or hiking', 'had spoken to a colleague about visiting a mountain trail', np.float32(0.35792032)), ('getting lost while walking or hiking', 'becoming disoriented but ultimately safe', np.float32(0.43284747)), ('getting lost while walking or hiking', 'Search teams scoured the bus routes and mountain trails', np.float32(0.2974499)), ('getting lost while walking or hiking', 'known to take solitary walks', np.float32(0.4600647)), ('boarding the wrong bus or ferry', 'causing her to disembark the bus prematurely', np.float32(0.54509676)), ('boarding the wrong bus or ferry', 'estranged from relatives', np.float32(0.16880405)), ('boarding the wrong bus or ferry', 'went missing after boarding a ferry near 1 Goosecroft Road', np.float32(0.40064502)), ('boarding the wrong bus or ferry', 'was last seen by a colleague boarding a ferry from Park Avenue', np.float32(0.5218773)), ('retreating to a secluded location for solace', 'Annette was known for her occasional urge to retreat to isolated locations when stressed', np.float32(0.40339094)), ('retreating to a secluded location for solace', 'but she never made it to her destination', np.float32(0.20829992)), ('retreating to a secluded location for solace', 'wandered at mountain to ferry', np.float32(0.24803276)), ('retreating to a secluded location for solace', 'was found disoriented at a cabin', np.float32(0.3915812))]",270
8,0,1,1,1,5,3,3,1,0.4753280282020569,3,"{'noted to act erratically', 'believed to be squatting', 'illegal employment status'}","{'erratic behavior', 'rooftop encounters', 'disoriented ventures', 'squatting behavior', 'transient lifestyle'}","[('erratic behavior', 'Known for her erratic behavior', np.float32(0.58647776)), ('erratic behavior', 'after a neighbor reported her erratic behavior', np.float32(0.48225328)), ('erratic behavior', 'Jane was last seen acting erratically on the rooftop of a building at 12 Fountain Road', np.float32(0.33165005)), ('erratic behavior', 'where she was noted to act erratically', np.float32(0.54846203)), ('erratic behavior', 'had been living a transient lifestyle since retiring', np.float32(0.26006782)), ('erratic behavior', 'possibly contributing to her erratic demeanor', np.float32(0.5319438)), ('erratic behavior', 'noted to act erratically', np.float32(0.71279144)), ('erratic behavior', 'The circumstances suggested a disoriented venture influenced by her erratic behavior', np.float32(0.5939462)), ('erratic behavior', 'noted to act erratically', np.float32(0.71279144)), ('erratic behavior', 'noted to act erratically and with an illegal employment status', np.float32(0.5291164)), ('squatting behavior', 'Known for squatting in vacated properties due to her illegal employment status', np.float32(0.4514026)), ('squatting behavior', 'an elderly woman believed to be squatting due to her illegal employment status', np.float32(0.46572596)), ('squatting behavior', 'was believed to be squatting at various locations', np.float32(0.713799)), ('squatting behavior', 'suspecting she was squatting in various locations', np.float32(0.5962775)), ('squatting behavior', 'Jane is believed to be squatting', np.float32(0.5538993)), ('disoriented ventures', 'Known for her erratic behavior', np.float32(0.24085438)), ('disoriented ventures', 'unharmed but disoriented', np.float32(0.38302603)), ('disoriented ventures', 'where she was found in relatively good condition but disoriented', np.float32(0.2744215)), ('disoriented ventures', 'The circumstances suggested a disoriented venture influenced by her erratic behavior', np.float32(0.5150771)), ('disoriented ventures', 'noted to act erratically', np.float32(0.33734226)), ('rooftop encounters', 'Jane Black was last seen near the rooftop of a building on Bruce Street', np.float32(0.35573727)), ('rooftop encounters', 'Search efforts intensified around the rooftop area and nearby locations', np.float32(0.62730443)), ('rooftop encounters', 'Witnesses later spotted her at a rooftop party on Foundry Loan', np.float32(0.45179373)), ('rooftop encounters', 'Jane Black was reported missing after she was last seen on the rooftop of a nearby building', np.float32(0.34371674)), ('rooftop encounters', 'recalled Jane mentioning a fascination with rooftops due to their serene views', np.float32(0.5361743)), ('rooftop encounters', 'Jane was on the rooftop', np.float32(0.52801645)), ('transient lifestyle', 'had been living a transient lifestyle since retiring', np.float32(0.779414)), ('transient lifestyle', 'the circumstances of her disappearance pointed toward her precarious lifestyle choices and employment situation', np.float32(0.30201042)), ('transient lifestyle', 'became disoriented while enjoying the view and inadvertently endangered herself', np.float32(0.32117862))]",281
9,0,0,0,1,5,1,5,1,0.4628271460533142,5,{'abduction suspicion'},"{'disappearance after expressing fascination with specific locations', 'disappearance from familiar locations', 'disappearance near casinos', 'disappearance after visiting public places', 'disappearance after being separated from caregivers'}","[('disappearance from familiar locations', 'shedding light on possible abduction circumstances', np.float32(0.37481233)), ('disappearance from familiar locations', 'Victor Roberts vanished from a cafe near 1 Leonard Street', np.float32(0.34528202)), ('disappearance from familiar locations', 'Found at airport nearby', np.float32(0.3846962)), ('disappearance from familiar locations', 'Victor Roberts disappeared from a shopping mall', np.float32(0.27301776)), ('disappearance from familiar locations', 'resolving the mystery surrounding his unexplained absence', np.float32(0.5067812)), ('disappearance near casinos', 'Victor Roberts disappeared from home with abduction suspicion near 51 Grampian Court after casino visit', np.float32(0.5090455)), ('disappearance near casinos', 'Reports indicated that Victor had been recently spotted near a local casino', np.float32(0.54501545)), ('disappearance near casinos', 'was last seen in the vicinity of a casino close to a local sports club', np.float32(0.62755316)), ('disappearance near casinos', 'abduction suspicions arose due to credible witness reports; Victor was last seen with an unidentified adult near a casino in the same area', np.float32(0.5542063)), ('disappearance near casinos', 'reported suspicion of abduction', np.float32(0.31892642)), ('disappearance after visiting public places', 'he had no known issues at the juvenile center prior to his disappearance', np.float32(0.3978718)), ('disappearance after visiting public places', 'having traveled on his own', np.float32(0.38902587)), ('disappearance after visiting public places', 'vanished under circumstances that raised immediate concern', np.float32(0.5893833)), ('disappearance after visiting public places', 'went missing from his home at 1-8 Telford Gardens', np.float32(0.43110633)), ('disappearance after visiting public places', 'resolving the mystery surrounding his unexplained absence', np.float32(0.4317384)), ('disappearance after being separated from caregivers', 'His parents and Janice immediately reported his absence', np.float32(0.42247194)), ('disappearance after being separated from caregivers', 'The foster family expressed relief at his safe return and coordinated with social services to address any underlying issues', np.float32(0.37607193)), ('disappearance after being separated from caregivers', 'who reported him missing after he failed to show up at home', np.float32(0.45508227)), ('disappearance after being separated from caregivers', 'vanished under circumstances that raised immediate concern', np.float32(0.58080065)), ('disappearance after being separated from caregivers', 'went missing from his home at 1-8 Telford Gardens', np.float32(0.43240994)), ('disappearance after expressing fascination with specific locations', 'After an extensive search in surrounding areas', np.float32(0.4436234)), ('disappearance after expressing fascination with specific locations', 'sparking fears he may have wandered towards vulnerable locations', np.float32(0.509375)), ('disappearance after expressing fascination with specific locations', 'resolving the mystery surrounding his unexplained absence', np.float32(0.54204756)), ('disappearance after expressing fascination with specific locations', 'vanished under circumstances that raised immediate concern', np.float32(0.647723)), ('disappearance after expressing fascination with specific locations', 'suggesting he might have headed toward unfamiliar areas', np.float32(0.4826113))]",283
