,exact_matches,partial_matches,len_cosine_sim_truth,missing_from_truth,len_summ,len_truth,total_inserted,cosine_sim_pat_extract,pat_in_extracted_sentence,pxtraced_pattern_not_in_text_hall,pxtraced_pattern_in_text_hall,extracted_sentence_not_in_text_hall,extracted_sentence_in_text_hall,set_summ,set_truth,cosine_sim_truth,try_count,len_recognized_patterns,misperid
0,1,4,0,0,11,5,11,0.46951374,1,11,2,2,11,"{'suicidal ideation pattern', 'appointment miss pattern', 'boarding school leave pattern', 'cult involvement pattern', 'creative works left pattern', 'self harm attempt pattern', 'extended walk pattern', 'routine miss pattern', 'medication miss pattern', 'remote island visit pattern', 'remote island interest pattern'}","{'did not collect medication', 'possibly involved in cult', 'left creative works behind', 'suicidal ideation', 'visiting remote island'}",[],1,11,5264
1,0,2,0,2,6,4,6,0.9028231,0,132,0,5,127,"{'attempt to escape pattern', 'unintended wander pattern', 'self harm attempt pattern', 'attempt to visit family member pattern', 'attempt to escape from caregiver pattern', 'attempt to escape from home pattern'}","{'travelled without telling family', 'believed to be camping', 'has history of trauma', 'last seen at train station'}",[],1,6,5338
2,0,2,0,1,5,3,5,0.35157597,0,29,1,6,24,"{'personality change pattern', 'dementia related disappearance', 'outing pattern', 'religious site visit pattern', 'festival attendance pattern'}","{'personality changes before disappearance', 'lived in converted van', 'missing after outdoor festival'}",[],1,5,5353
3,0,0,0,2,11,2,11,0.36634305,7,7,6,0,13,"{'solitude search pattern', 'staying with family friend pattern', 'exploring forest area with family pattern', 'found at family member house pattern', 'safely traced after search pattern', 'hike without return pattern', 'exploring secluded locations pattern', 'solitude in nature pattern', 'secluded area search pattern', 'isolation search pattern', 'refuge in public place pattern'}","{'job loss stress', 'chronic illness stress'}",[],1,11,5413
4,0,1,0,0,14,1,14,0.33062425,2,10,4,0,14,"{'solitude pattern', 'unannounced return pattern', 'squatting in bathroom pattern', 'sudden disappearance pattern', 'squatting after visit pattern', 'squatting transit pattern', 'squatting after worksite pattern', 'voluntary absence pattern', 'campground pattern', 'solitude after stress pattern', 'squatting pattern', 'disorientation pattern', 'argument pattern', 'solitude after dispute pattern'}",{'believed to be squatting'},[],1,14,5433
5,0,1,0,1,2,2,2,0.47387314,0,25,0,10,15,"{'cash withdrawal before disappearance pattern', 'multiple location plans pattern'}","{'missing after outdoor festival', 'withdrew cash before leaving'}",[],1,2,5442
6,0,3,0,0,23,3,23,0.54547614,1,25,0,1,24,"{'off grid interest pattern', 'flight boarding failure pattern', 'care home wander pattern', 'domestic violence elevator disorientation pattern', 'undisclosed destination ticket purchase pattern', 'airplane vanish pattern', 'remote island flight pattern', 'domestic violence scene pattern', 'wrong plane boarding pattern', 'airplane last heard from pattern', 'disorientation memory lapse pattern', 'off grid travel pattern', 'police trace after disappearance pattern', 'family event miss pattern', 'zoo location pattern', 'off grid intent pattern', 'evade social services pattern', 'domestic violence elevator location pattern', 'remote location travel pattern', 'unplanned flight pattern', 'remote location spotting pattern', 'disorientation wander pattern', 'remote island frequency pattern'}","{'avoiding social services', 'visiting remote island', 'living off grid'}",[],1,23,5508
7,0,2,0,0,6,2,6,0.29200035,1,5,1,0,6,"{'sudden departure pattern', 'unnoticed return pattern', 'stealthy departure pattern', 'sea kayaking plans pattern', 'unplanned absence pattern', 'avoiding authorities pattern'}","{'possible sea kayaking accident', 'known to avoid authorities'}",[],1,6,5523
8,0,2,0,1,9,3,9,0.36143646,6,4,5,0,9,"{'gas station visit pattern', 'routine activity disruption pattern', 'overdue walk return pattern', 'attic visit with visa issue pattern', 'confusion at work pattern', 'attic discovery pattern', 'public discovery pattern', 'confusion after gas station visit pattern', 'gas station to attic transition pattern'}","{'overdue return from walk', 'suspected visa issues', 'foreign travel suspected'}",[],1,9,5531
9,0,0,0,5,2,5,2,0.11884807,2,32,0,30,2,"{'self disorientation pattern', 'self isolation pattern'}","{'obsession with online game or group', 'mental health facility patient', 'expressed desire to disappear', 'living off grid', 'noted to act erratically'}",[],2,3,5533
