,exact_matches,partial_matches,len_cosine_sim_truth,missing_from_truth,len_summ,len_truth,total_inserted,cosine_sim_pat_extract,pat_in_extracted_sentence,pxtraced_pattern_not_in_text_hall,pxtraced_pattern_in_text_hall,extracted_sentence_not_in_text_hall,extracted_sentence_in_text_hall,set_summ,set_truth,cosine_sim_truth,try_count,len_recognized_patterns,misperid
0,0,1,0,1,4,2,4,0.32634968,0,4,0,0,4,"{'related interest location pattern', 'no show pattern', 'group shared interest pattern', 'personality change pattern'}","{'believed to be camping', 'personality changes before disappearance'}",[],1,4,42
1,1,3,0,1,13,5,13,0.41458482,0,22,0,2,20,"{'sudden departure pattern', 'domestic violence escape pattern', 'abandoning belongs pattern', 'emotional distress near beach pattern', 'unplanned absence pattern', 'personality change before disappearance pattern', 'feeling unsafe pattern', 'unusual behavior after travel pattern', 'withdrawal pattern', 'child custody meeting disruption pattern', 'child custody concerns pattern', 'remote island desire pattern', 'stranger contact pattern'}","{'contacted a stranger before vanishing', 'left phone at home', 'domestic violence escape', 'personality changes before disappearance', 'visiting remote island'}",[],1,13,51
2,0,2,0,0,8,2,8,0.3993761,4,4,6,0,10,"{'hiking with friend disconnection pattern', 'solitary hiking pattern', 'hiking interest pattern', 'wilderness hiking pattern', 'unpredictable behavior pattern', 'disorientation pattern', 'support services disconnection pattern', 'elevator descent disconnection pattern'}","{'disconnected from support services', 'lost while hiking'}",[],1,8,157
3,0,3,0,1,6,4,6,0.6111678,0,58,0,3,55,"{'solitude desire pattern', 'secluded area pattern', 'sea kayaking interest pattern', 'self harm attempt pattern', 'stranger contact pattern', 'neglected medication pattern'}","{'possible sea kayaking accident', 'contacted a stranger before vanishing', 'interested in hermit lifestyle', 'did not collect medication'}",[],1,6,190
4,3,3,1,1,15,6,15,0.36136866,5,14,1,0,15,"{'sudden religious conversion pattern', 'planned activity pattern', 'avoiding authorities pattern', 'unexplained absence pattern', 'planned hunting trip pattern', 'unclear motivation pattern', 'avoiding authorities and illegal employment pattern', 'travel related activity pattern', 'unannounced travel pattern', 'unannounced departure pattern', 'repeated unannounced travel pattern', 'sudden religious conversion disappearance pattern', 'sudden religious conversion vanish pattern', 'planned meeting pattern', 'survivalist community influence pattern'}","{'withdrew cash before leaving', 'illegal employment status', 'avoiding social services', 'sudden religious conversion', 'part of survivalist community', 'travelled without telling family'}","[('travelled without telling family', 'travel related activity pattern')]",1,15,212
5,0,0,1,0,17,1,17,0.5384679,1,19,0,2,17,"{'discovery quay direction pattern', 'safe house mention pattern', 'abandoned building sighting pattern', 'river visit mention pattern', 'school bus stop direction pattern', 'lost in snow pattern', 'marina facility sighting pattern', 'safe house refuge pattern', 'search initiation pattern', 'safe house interest pattern', 'school bus stop sighting pattern', 'disused building location pattern', 'self harm attempt pattern', 'derelict boat sighting pattern', 'unsupervised wandering pattern', 'snow area direction pattern', 'disoriented sighting pattern'}",{'possible boating incident'},"[('possible boating incident', 'derelict boat sighting pattern')]",1,17,253
6,0,5,1,0,18,6,18,0.32423595,0,17,1,0,18,"{'underground bunker refuge pattern', 'remote areas and underground bunker pattern', 'homelessness and underground bunker pattern', 'underground bunker fascination pattern', 'underground bunker discovery pattern', 'care facility discharge and underground bunker pattern', 'care facility discharge and abduction pattern', 'care facility discharge and distress pattern', 'remote areas fascination pattern', 'care facility discharge and remote areas pattern', 'underground bunker allure pattern', 'underground bunker near victimization pattern', 'squatting and remote areas pattern', 'detour pattern', 'underground bunker nearby pattern', 'sea kayaking and remote areas pattern', 'no information pattern', 'interest in remote areas pattern'}","{'believed to be squatting', 'believed to be homeless', 'known to frequent remote areas', 'abduction suspicion', 'recent discharge from care facility', 'possible sea kayaking accident'}","[('believed to be homeless', 'homelessness and underground bunker pattern')]",1,18,266
7,0,2,0,0,30,2,30,0.51700556,1,30,0,1,29,"{'found at grangemouth pattern', 'became disoriented pattern', 'failed to make contact pattern', 'found by relatives pattern', 'failed to return home pattern', 'seeking solace pattern', 'missed appointment pattern', 'last seen on haypark road pattern', 'custody meeting pattern', 'temporary memory lapse pattern', 'traced on west bridge street pattern', 'lost way due to confusion pattern', 'vanished after move pattern', 'cabin near park avenue pattern', 'last seen near ferry pattern', 'premature bus disembarkation pattern', 'last seen boarding ferry pattern', 'found safe at falkirk pattern', 'traced to custody location pattern', 'lost way pattern', 'self harm attempt pattern', 'missed check in call pattern', 'failed to meet colleague pattern', 'traced to west bridge street pattern', 'unintentional wander pattern', 'missed school events pattern', 'lost track of time pattern', 'failed to appear for meeting pattern', 'failed to appear for visit pattern', 'placed on ferry pattern'}","{'estranged from relatives', 'recently moved to area'}",[],1,30,270
8,0,1,1,1,4,3,4,0.26795202,0,16,0,1,15,"{'squatting behavior pattern', 'suspicious activity pattern', 'dementia related behavior pattern', 'erratic behavior pattern'}","{'believed to be squatting', 'noted to act erratically', 'illegal employment status'}","[('noted to act erratically', 'erratic behavior pattern')]",1,4,281
9,0,1,0,0,11,1,11,0.24131176,0,16,0,1,15,"{'casino visit pattern', 'abduction like behavior pattern', 'juvenile center attraction pattern', 'casino attraction pattern', 'home attraction pattern', 'university event attraction pattern', 'arcade attraction pattern', 'residential area attraction pattern', 'airport attraction pattern', 'job attraction pattern', 'stranger observation pattern'}",{'abduction suspicion'},[],1,11,283
10,1,2,0,0,5,3,5,0.50253516,0,37,0,0,37,"{'hiking trip pattern', 'outdoor festival visit pattern', 'fear of deportation pattern', 'grocery store visit pattern', 'juvenile center visit pattern'}","{'fear of deportation', 'disappeared after hiking trip', 'missing after outdoor festival'}",[],1,5,386
11,2,2,0,0,14,4,14,0.5063385,0,14,0,1,13,"{'vanishing from military base pattern', 'possible witness to crime pattern', 'boating incident pattern', 'observing strange activities pattern', 'exploring waterways pattern', 'near construction site boating incident pattern', 'found disoriented in elevator pattern', 'speaking with colleague at construction site pattern', 'cult influence pattern', 'self harm attempt pattern', 'wandering off pattern', 'found wandering parking lot pattern', 'living off grid pattern', 'playing near military base pattern'}","{'possible witness to crime', 'possibly involved in cult', 'possible boating incident', 'living off grid'}",[],1,14,403
12,0,2,1,2,8,5,8,0.15564044,2,14,4,3,15,"{'dundee', 'frequent remote areas pattern', 'indicating a pattern of wandering off and being found safe', 'seemingly disoriented but unharmed', 'wandering off pattern', 'unharmed', 'erratic behavior pattern', 'having wandered off in a disoriented state'}","{'noted to act erratically', 'vanished during seasonal work', 'known to frequent remote areas', 'recently moved to area', 'believed to be in forested area'}","[('noted to act erratically', 'indicating a pattern of wandering off and being found safe')]",1,8,416
13,0,2,0,2,9,4,9,0.43657684,0,9,0,2,7,"{'sudden change in plans pattern', 'surveillance paranoia pattern', 'sleeping rough plan pattern', 'sleeping rough after domestic incident pattern', 'planned departure pattern', 'multiple location visit pattern', 'self harm attempt pattern', 'paranoia driven behavior pattern', 'cult location visit pattern'}","{'left personal items behind', 'travelled without telling family', 'planned to sleep rough', 'was paranoid about surveillance'}",[],1,9,422
14,1,2,1,0,21,4,21,0.46261576,0,23,0,1,22,"{'forest frequency pattern', 'abandoned building frequency pattern', 'friend contact disappearance pattern', 'abandoned building solitude pattern', 'abandoned sites frequency pattern', 'solitude forest pattern', 'school event absence pattern', 'friend visit disappearance pattern', 'forest reflection pattern', 'bingo hall frequency pattern', 'north lane frequency pattern', 'book club meeting pattern', 'tunnel disappearance pattern', 'cliff disappearance pattern', 'self harm attempt pattern', 'forest disappearance pattern', 'sudden religious conversion pattern', 'abandoned building disappearance pattern', 'preoccupation mental health pattern', 'casino solitude pattern', 'home disappearance pattern'}","{'mental health issues', 'believed to be in forested area', 'sudden religious conversion', 'seeking solitude'}","[('believed to be in forested area', 'forest frequency pattern')]",1,21,443
15,0,3,0,2,10,5,10,0.36595437,3,7,3,1,9,"{'family travel pattern', 'sudden absence pattern', 'age disability concern pattern', 'unplanned absence pattern', 'autonomy search pattern', 'dementia indication pattern', 'foreign travel suspicion pattern', 'self harm attempt pattern', 'abuse escape pattern', 'hiking disorientation pattern'}","{'foreign travel suspected', 'recent escape from abusive household', 'lost while hiking', 'left behind no note', 'believed to be in another city'}",[],4,10,453
16,0,3,0,1,14,4,14,0.3653833,0,14,0,0,14,"{'vehicle cave pattern', 'online game play pattern', 'online group meetup pattern', 'online game obsession pattern', 'online game vehicle pattern', 'cave vehicle political pattern', 'vehicle disappearance pattern', 'cave game obsession pattern', 'midnight departure pattern', 'online game meetup pattern', 'cave vehicle pattern', 'night wander pattern', 'online game meeting pattern', 'wrong turn pattern'}","{'left in middle of night', 'associated with political fringe group', 'suspected visa issues', 'obsession with online game or group'}",[],2,14,459
17,0,1,1,1,10,3,10,0.23509534,3,9,1,1,9,"{'paranoia pattern', 'bathroom trip pattern', 'storming off pattern', 'ferry ride pattern', 'anxiety pattern', 'abduction like incident pattern', 'argument leading to disappearance pattern', 'wandering off pattern', 'unsupervised wandering pattern', 'concert venue pattern'}","{'obsession with online game or group', 'left home during argument', 'was paranoid about surveillance'}","[('was paranoid about surveillance', 'paranoia pattern')]",1,10,475
18,0,1,0,2,5,3,5,0.26862812,5,5,1,2,4,"{'disoriented near highway pattern', 'weather related disappearance pattern', 'unusual social setting pattern', 'secluded area disappearance pattern', 'unaccompanied exit pattern'}","{'interested in hermit lifestyle', 'foul weather incident', 'living off grid'}",[],1,5,490
19,2,3,0,1,20,6,20,0.52878004,0,27,0,1,26,"{'failed to return home pattern', 'safely located at acquaintance residence pattern', 'left note about visa problems pattern', 'became disoriented while hiking pattern', 'seemed anxious and avoiding authorities pattern', 'romantic rejection pattern', 'avoid authorities due to visa issues pattern', 'left home saying heading back home pattern', 'self harm attempt pattern', 'found distressed at grocery store pattern', 'failed to arrive pattern', 'safely traced back to home pattern', 'last seen leaving with friend pattern', 'left home without phone pattern', 'traced to known location pattern', 'found safe pattern', 'avoid authorities pattern', 'last seen distressed pattern', 'had concerns over addiction pattern', 'last seen leaving tutoring center pattern'}","{'known to avoid authorities', 'romantic rejection', 'lost while hiking', 'suspected visa issues', 'financial difficulties', 'concerns over addiction'}",[],1,20,553
20,3,0,0,0,11,1,11,0.4614317,0,11,0,0,11,"{'refuge with acquaintances pattern', 'escape domestic violence wilderness pattern', 'escape domestic violence bus station pattern', 'refuge with friend pattern', 'flee to wilderness pattern', 'escape domestic violence pattern', 'flee to wilderness after locker room pattern', 'flee to clinic pattern', 'escape volatility pattern', 'refuge on accre drive pattern', 'flee into wilderness pattern'}",{'domestic violence escape'},[],1,11,615
21,2,3,0,0,16,5,16,0.6122937,0,21,0,0,21,"{'remote island interest pattern', 'kayaking near remote island pattern', 'sea kayaking enthusiasm pattern', 'undiagnosed mental illness pattern', 'island fascination pattern', 'sea kayaking accident pattern', 'friend involvement pattern', 'impromptu adventure pattern', 'secretive plan pattern', 'wandering alone pattern', 'new romantic partner unknown pattern', 'bus to remote island pattern', 'adventurous nature pattern', 'new romantic partner pattern', 'fear of deportation pattern', 'new friend unknown pattern'}","{'new romantic partner unknown to others', 'fear of deportation', 'visiting remote island', 'undiagnosed mental illness', 'possible sea kayaking accident'}",[],1,16,656
