,exact_matches,partial_matches,cosine_sim_truth,missing_from_truth,len_summ,len_truth,total_inserted,cosine_sim_loc_extract,loc_in_extracted_sentence,pxtraced_location_not_in_text_hall,pxtraced_location_in_text_hall,extracted_sentence_not_in_text_hall,extracted_sentence_in_text_hall,try_count,misperid
0,1,0,0,0,3,1,3,0.39433128,0,1,7,8,0,1,42
1,2,0,0,4,7,6,7,0.46080482,4,12,32,8,36,1,51
2,1,0,0,1,6,2,6,0.540317,5,1,11,4,8,1,157
3,1,1,0,1,5,3,5,0.46176517,1,11,7,2,16,1,190
4,3,0,0,1,9,3,9,0.3765524,5,2,14,1,15,1,212
5,4,1,0,1,7,6,5,0.33654037,5,0,25,4,21,1,253
6,0,1,0,0,13,1,13,0.29631546,8,0,34,0,34,1,266
7,0,0,0,5,5,5,5,0.43168876,0,2,23,25,0,1,270
8,1,0,0,1,3,2,3,0.3527931,3,0,19,1,18,1,281
9,1,0,0,4,7,5,7,0.38403177,6,0,35,2,33,1,283
10,0,0,0,3,2,3,2,0.39173535,1,2,100,2,100,1,386
11,5,0,0,0,9,5,6,0.41160896,0,3,8,0,11,1,403
12,0,0,0,4,3,4,3,0.4090132,0,12,9,3,18,1,416
13,2,0,0,3,5,5,4,0.2343118,2,3,16,0,19,1,422
14,5,0,0,0,6,5,3,0.37399775,3,2,12,1,13,1,443
15,0,1,0,1,3,2,3,0.3041806,3,0,45,1,44,1,453
16,1,0,0,0,4,1,4,0.3369153,4,1,31,1,31,1,459
17,1,1,0,2,5,4,5,0.5542424,5,0,12,0,12,1,475
18,3,0,0,0,4,3,4,0.6533554,2,2,3,1,4,1,490
19,1,0,0,0,4,1,3,0.2371694,2,0,7,0,7,1,553
20,1,0,0,2,6,3,6,0.4297489,6,1,18,1,18,1,615
21,1,0,0,1,4,2,4,0.44243336,3,1,39,4,36,1,656
22,5,0,0,1,16,5,13,0.20980296,12,0,34,3,31,1,683
23,0,0,0,3,4,3,4,0.31330726,4,0,13,1,12,1,729
24,1,0,0,2,5,3,5,0.3416165,3,2,20,3,19,1,777
25,0,0,0,1,2,1,2,0.23296994,0,1,15,2,14,1,781
26,1,0,0,3,4,4,4,0.20472492,4,0,47,31,16,1,783
27,0,0,0,6,6,6,6,0.321624,2,22,21,0,43,1,851
28,4,0,0,3,9,7,5,0.36824012,0,2,31,14,19,1,857
29,0,0,0,5,6,5,6,0.28203684,3,3,26,2,27,3,884
30,6,0,0,0,11,5,7,0.4365899,7,0,20,1,19,2,903
31,1,0,0,4,9,5,9,0.39008647,9,1,29,1,29,1,908
32,1,1,0,1,4,3,4,0.3262765,2,0,6,4,2,1,951
33,2,1,0,2,6,5,6,0.5825629,6,0,35,0,35,1,962
34,4,0,0,2,12,6,12,0.32756147,9,1,28,1,28,1,985
35,0,0,0,4,2,4,2,0.21567279,0,0,4,4,0,1,1019
36,0,1,0,0,10,1,10,0.40068334,5,3,18,3,18,1,1077
37,0,0,1,4,8,5,7,0.4103803,6,0,13,0,13,1,1143
38,5,0,0,0,12,5,10,0.44207162,7,2,38,4,36,1,1160
39,0,0,0,1,5,1,5,0.4319233,4,1,13,2,12,1,1188
40,0,0,0,1,5,1,5,0.27927884,4,5,19,1,23,1,1195
41,3,0,0,2,8,5,7,0.4547665,7,1,45,2,44,1,1210
42,1,0,0,3,4,4,4,0.28943056,0,3,9,4,8,1,1216
43,2,0,0,0,9,1,9,0.180098,2,5,13,0,18,1,1274
44,2,0,0,5,4,6,4,0.20695122,3,5,9,1,13,1,1276
45,0,0,0,5,5,5,5,0.22638075,3,10,39,12,37,1,1289
46,1,0,0,2,3,3,3,0.38327062,0,0,6,6,0,1,1314
47,4,0,0,0,4,2,4,0.43629214,2,4,11,1,14,1,1375
48,0,0,0,2,2,2,2,0.33954498,2,0,72,27,45,1,1381
49,1,0,0,0,3,1,3,0.4275549,2,0,9,0,9,1,1466
50,2,0,0,1,5,3,5,0.57181865,2,1,7,0,8,1,1488
51,1,0,0,4,6,5,5,0.32343557,4,0,6,1,5,1,1612
52,4,0,0,0,7,4,7,0.420356,4,2,15,0,17,1,1618
53,4,1,0,0,5,4,4,0.4649072,3,1,36,0,37,1,1634
54,0,0,0,1,2,1,2,0.28133297,2,0,6,0,6,1,1682
55,0,0,1,2,5,3,4,0.30644175,3,1,12,1,12,1,1724
56,1,1,0,3,7,5,7,0.4954642,6,2,23,0,25,1,1727
57,0,0,0,0,3,0,3,0.23725331,1,2,64,2,64,1,1790
58,2,0,1,2,9,5,7,0.3833788,7,7,25,0,32,1,1799
59,0,0,0,4,3,4,3,0.28367624,0,3,14,17,0,1,1839
60,6,0,0,0,8,6,8,0.67196864,8,9,22,1,30,1,1864
