,exact_matches,partial_matches,cosine_sim_truth,missing_from_truth,len_summ,len_truth,total_inserted,try_count,average_of_mean_max_cos_to_sentence,no_ids,truth_set,summ_set,max_cos_to_sentence_tuples,misperid
0,0,1,1,1,5,2,3,1,0.4436795115470886,2,"{'believed to be camping', 'personality changes before disappearance'}","{'disappearance near a location of interest', 'disappearance in a location with residential or domestic settings', 'disappearance during or after a planned activity', 'disappearance in a group setting', 'disappearance in a location with outdoor recreational activities'}","[('disappearance during or after a planned activity', 'Prior to her disappearance', np.float32(0.5226214)), ('disappearance during or after a planned activity', 'possibly contributing to her unexpected disappearance', np.float32(0.5282534)), ('disappearance near a location of interest', 'Her last known whereabouts before vanishing were near Carmelite Street', np.float32(0.46293715)), ('disappearance near a location of interest', 'possibly contributing to her unexpected disappearance', np.float32(0.5023806)), ('disappearance in a group setting', 'possibly contributing to her unexpected disappearance', np.float32(0.41038465)), ('disappearance in a location with outdoor recreational activities', 'Trace operations by police confirmed Kate had been in the area with a group of friends who were similarly interested in outdoor adventures', np.float32(0.39332247)), ('disappearance in a location with residential or domestic settings', 'was reported missing from her home on Craigour Road', np.float32(0.49251482)), ('disappearance in a location with residential or domestic settings', 'Kate had personality changes before her brief disappearance', np.float32(0.32067382))]",42
1,0,2,3,2,5,5,3,1,0.4819506108760834,5,"{'domestic violence escape', 'personality changes before disappearance', 'left phone at home', 'contacted a stranger before vanishing', 'visiting remote island'}","{'disappearance with unusual behavior', 'disappearance with a history of domestic violence', 'disappearance by unplanned departure', 'disappearance with a known companion', 'disappearance from a familiar location'}","[('disappearance by unplanned departure', 'On the morning she was reported missing', np.float32(0.5179191)), ('disappearance by unplanned departure', 'on the day she vanished', np.float32(0.48093826)), ('disappearance by unplanned departure', 'She was returned safely and without harm after being located', np.float32(0.43019754)), ('disappearance by unplanned departure', 'she vanished', np.float32(0.5411555)), ('disappearance by unplanned departure', 'Charlotte Saunders left her phone at home during a child custody-related visit to a remote island', np.float32(0.35194725)), ('disappearance from a familiar location', ""Charlotte was later found safe by police at an acquaintance's residence and returned to her foster guardians"", np.float32(0.3050377)), ('disappearance from a familiar location', 'which led investigators to suspect their destination involved another known address', np.float32(0.4320707)), ('disappearance from a familiar location', 'disappeared from her home on Ruthven Road', np.float32(0.4440334)), ('disappearance from a familiar location', 'Charlotte Saunders vanished one morning from her foster home on Ruthven Road', np.float32(0.32825878)), ('disappearance from a familiar location', 'Friends and family noticed personality changes in the weeks leading up to her disappearance', np.float32(0.4426816)), ('disappearance with a known companion', 'on the day she vanished', np.float32(0.54613805)), ('disappearance with a known companion', 'She was returned safely and without harm after being located', np.float32(0.473393)), ('disappearance with a known companion', 'The specific circumstances leading to her disappearance remain unclear', np.float32(0.6021193)), ('disappearance with a known companion', 'experienced notable personality changes leading up to her disappearance', np.float32(0.6141635)), ('disappearance with a known companion', 'worried about her absence', np.float32(0.50363195)), ('disappearance with a history of domestic violence', 'escaping domestic violence', np.float32(0.6830362)), ('disappearance with a history of domestic violence', 'She was returned safely and without harm after being located', np.float32(0.46165243)), ('disappearance with a history of domestic violence', 'possibly escaping domestic violence with friend Mandy Farmer', np.float32(0.49737072)), ('disappearance with a history of domestic violence', 'Reports indicated Charlotte may have been trying to escape incidents of domestic violence within the home', np.float32(0.50331205)), ('disappearance with a history of domestic violence', 'Charlotte fled to a national park to escape domestic violence', np.float32(0.49768424)), ('disappearance with unusual behavior', 'on the day she vanished', np.float32(0.44256714)), ('disappearance with unusual behavior', 'On the day she vanished', np.float32(0.4425672)), ('disappearance with unusual behavior', 'experienced notable personality changes leading up to her disappearance', np.float32(0.583187)), ('disappearance with unusual behavior', 'displaying unusual behavior after recent travel-related stress', np.float32(0.44866747)), ('disappearance with unusual behavior', 'Charlotte exhibited personality changes before her disappearance in a travel-related incident', np.float32(0.4750349))]",51
2,0,2,2,0,5,2,3,1,0.4053686261177063,3,"{'lost while hiking', 'disconnected from support services'}","{'separation in crowded areas', 'disconnection from support services', 'elevator disappearance', 'hiking in wilderness', 'venturing alone'}","[('disconnection from support services', 'Karen was known to occasionally disconnect from support services', np.float32(0.6001494)), ('disconnection from support services', 'Disconnected from her support services', np.float32(0.61135626)), ('disconnection from support services', 'After several hours with no contact', np.float32(0.24425326)), ('disconnection from support services', 'Karen exhibited signs of being disconnected from support services', np.float32(0.53186864)), ('disconnection from support services', 'Karen is disconnected from support services', np.float32(0.551346)), ('elevator disappearance', 'The group then decided to take an elevator down to the street level', np.float32(0.6007924)), ('elevator disappearance', 'Karen Smith went missing after boarding an elevator at a travel hub', np.float32(0.58703774)), ('elevator disappearance', 'They intended to explore the trails accessible via a short elevator ride from their starting point at her home near Railway Pier in Oban', np.float32(0.3878454)), ('hiking in wilderness', 'aiming to hike in the wilderness nearby', np.float32(0.88781357)), ('hiking in wilderness', 'she was last seen hiking in a nearby wilderness area', np.float32(0.6573618)), ('hiking in wilderness', 'Karen Smith went missing after planning a hiking excursion in the wilderness with her friend', np.float32(0.44345224)), ('hiking in wilderness', 'She was found physically safe', np.float32(0.1562708)), ('separation in crowded areas', 'The group then decided to take an elevator down to the street level', np.float32(0.20420684)), ('venturing alone', 'family members linked her fondness for solitude to feelings of being overwhelmed', np.float32(0.3423101)), ('venturing alone', 'Karen attempted to navigate the dense forest alone and lost her way', np.float32(0.18891318)), ('venturing alone', 'but initially proved fruitless', np.float32(0.22895193))]",157
3,0,1,1,3,5,4,4,1,0.38008761405944824,4,"{'possible sea kayaking accident', 'contacted a stranger before vanishing', 'interested in hermit lifestyle', 'did not collect medication'}","{'disappearance after contacting a stranger', 'disappearance after expressing interest in a specific activity', 'disappearance near waterways', 'disappearance after neglecting essential tasks', 'disappearance near isolated areas'}","[('disappearance near waterways', 'traced his whereabouts', np.float32(0.34241587)), ('disappearance near waterways', ""A possible sea kayaking accident was initially suspected when his kayak was found adrift along the marina's edge"", np.float32(0.4318297)), ('disappearance near waterways', 'His kayak was found adrift', np.float32(0.40939596)), ('disappearance near waterways', 'Their efforts led them to a dock/marina', np.float32(0.33105606)), ('disappearance near waterways', 'He had planned a sea kayaking trip but did not return as expected', np.float32(0.40489334)), ('disappearance near waterways', 'On the day he went missing', np.float32(0.30267638)), ('disappearance near isolated areas', 'Mohammad Arnold was reported missing from his home on Caledonian Road', np.float32(0.28782752)), ('disappearance near isolated areas', 'Mohammad Arnold disappeared under mysterious circumstances', np.float32(0.3277791)), ('disappearance near isolated areas', 'disappeared from his home on Caledonian Road', np.float32(0.37944183)), ('disappearance near isolated areas', 'went missing from his home at Caledonian Road', np.float32(0.33494958)), ('disappearance near isolated areas', 'Known to have mobility issues', np.float32(0.33381617)), ('disappearance after contacting a stranger', 'suggesting he may have sought solitude after contacting the stranger', np.float32(0.6912408)), ('disappearance after contacting a stranger', 'The sudden contact with an unknown individual prompted an investigation', np.float32(0.576257)), ('disappearance after contacting a stranger', 'His disappearance raised concerns and his family', np.float32(0.47770134)), ('disappearance after contacting a stranger', 'went missing from his home on Caledonian Road', np.float32(0.40951407)), ('disappearance after contacting a stranger', 'Mohammad had contacted a stranger shortly before he vanished', np.float32(0.62825143)), ('disappearance after neglecting essential tasks', 'He had not collected his essential medications', np.float32(0.41268474)), ('disappearance after neglecting essential tasks', 'Despite the worrying circumstances', np.float32(0.2759558)), ('disappearance after neglecting essential tasks', 'went missing from his home on Caledonian Road', np.float32(0.34497353)), ('disappearance after neglecting essential tasks', 'he had not collected his necessary medication for some time', np.float32(0.36362082)), ('disappearance after expressing interest in a specific activity', 'Mohammad Arnold went missing near an orchard on Caledonian Road after a visit with his brother', np.float32(0.2533099)), ('disappearance after expressing interest in a specific activity', 'was contacted but had not seen him', np.float32(0.26112998)), ('disappearance after expressing interest in a specific activity', 'leading to concerns over a possible sea kayaking accident', np.float32(0.16389886)), ('disappearance after expressing interest in a specific activity', 'This unusual contact raised questions and fueled speculations about the circumstances leading to his disappearance', np.float32(0.48724365))]",190
4,0,3,2,3,5,6,2,1,0.43461838364601135,3,"{'avoiding social services', 'sudden religious conversion', 'illegal employment status', 'travelled without telling family', 'part of survivalist community', 'withdrew cash before leaving'}","{'disappearance after sudden religious conversion', 'disappearance near hunting areas', 'disappearance near mines', 'traveling without notification', 'disappearance after leaving workplace'}","[('traveling without notification', 'discovered Elaine absent from a volunteer organization', np.float32(0.12285631)), ('traveling without notification', 'It was discovered that Elaine often traveled without informing her family', np.float32(0.2852336)), ('traveling without notification', 'was last seen leaving the family home at 484 Perth Road without informing anyone of her whereabouts', np.float32(0.2600416)), ('traveling without notification', 'the situation became more urgent as she did not return home', np.float32(0.22749291)), ('traveling without notification', 'Known for traveling without informing her family', np.float32(0.5104788)), ('traveling without notification', 'becoming disoriented or lost', np.float32(0.36536905)), ('disappearance near hunting areas', 'Last seen heading towards a nearby hunting area with uncle John Blake', np.float32(0.54525614)), ('disappearance near hunting areas', 'Elaine Hall was last seen at a nearby hunting area after withdrawing cash', np.float32(0.38680667)), ('disappearance near hunting areas', ""Elaine Hall last seen leaving her uncle's mine near 33 Blackness Ave"", np.float32(0.13259423)), ('disappearance near hunting areas', 'Inquiries revealed that Elaine also intended to visit a hunting area near Brechin', np.float32(0.40079886)), ('disappearance near mines', 'Elaine Hall was last seen near a mine close to her workplace at 484 Perth Road', np.float32(0.34290677)), ('disappearance near mines', 'Further investigation revealed Elaine had headed to the mines near 11 Panmure Terrace', np.float32(0.49935484)), ('disappearance near mines', ""Elaine Hall last seen leaving her uncle's mine near 33 Blackness Ave"", np.float32(0.24084562)), ('disappearance after sudden religious conversion', 'she suddenly converted to a new religion', np.float32(0.6527518)), ('disappearance after sudden religious conversion', 'coinciding with her sudden religious conversion', np.float32(0.6622219)), ('disappearance after sudden religious conversion', 'dealing with a sudden religious conversion', np.float32(0.7880372)), ('disappearance after sudden religious conversion', 'Elaine Hall vanished after a sudden religious conversion', np.float32(0.6646882)), ('disappearance after sudden religious conversion', 'She had recently shown signs of avoiding social services and had undergone a sudden religious conversion', np.float32(0.63083863)), ('disappearance after sudden religious conversion', 'prompting concerns as she had recently undergone a sudden religious conversion', np.float32(0.6385178)), ('disappearance after leaving workplace', 'was reported missing after she left her home on Perth Road', np.float32(0.47407925)), ('disappearance after leaving workplace', 'She was supposed to finish her shift and return home but failed to do so', np.float32(0.38868457)), ('disappearance after leaving workplace', 'Elaine left her workplace at the organization without informing anyone of her whereabouts', np.float32(0.5700493))]",212
5,0,1,1,0,5,1,4,1,0.4644702076911926,5,{'possible boating incident'},"{'disappearance via unfamiliar routes', 'disappearance in snowy or slippery conditions', 'disappearance near abandoned buildings', 'disappearance due to getting lost', 'disappearance due to boating incidents'}","[('disappearance via unfamiliar routes', 'a neighbor recalled seeing him near an abandoned building and expressed concerns about a possible boating incident he might have tried', np.float32(0.3222061)), ('disappearance via unfamiliar routes', 'While Stewart was familiar with the routes', np.float32(0.38515925)), ('disappearance via unfamiliar routes', 'Authorities believe he inadvertently traveled further than intended', np.float32(0.55496657)), ('disappearance via unfamiliar routes', 'A broken-down vehicle was found nearby', np.float32(0.3484183)), ('disappearance via unfamiliar routes', 'A possible boating incident led to his disappearance', np.float32(0.50572)), ('disappearance near abandoned buildings', 'a neighbor recalled seeing him near an abandoned building and expressed concerns about a possible boating incident he might have tried', np.float32(0.5052533)), ('disappearance near abandoned buildings', ""Concerns grew due to Stewart's propensity to wander into deserted areas and his known interest in local abandoned buildings"", np.float32(0.5083006)), ('disappearance near abandoned buildings', 'Police efforts were heightened given his disability and his tendency to wander into urban areas around abandoned buildings', np.float32(0.46934146)), ('disappearance near abandoned buildings', 'Stewart Hammond was last seen by a friend near an abandoned building on his regular walking route', np.float32(0.4954856)), ('disappearance near abandoned buildings', 'Since his disappearance', np.float32(0.3669915)), ('disappearance due to boating incidents', 'a neighbor recalled seeing him near an abandoned building and expressed concerns about a possible boating incident he might have tried', np.float32(0.5124488)), ('disappearance due to boating incidents', ""There was speculation about a possible boating incident as some of Stewart's belongings were later found near a derelict boat moored close to Discovery Quay"", np.float32(0.5393057)), ('disappearance due to boating incidents', 'Police found him safely in Forfar later', np.float32(0.2405867)), ('disappearance due to boating incidents', 'sparking concerns of a possible boating incident when he failed to return', np.float32(0.6613424)), ('disappearance due to boating incidents', 'leading police to suspect a possible boating incident', np.float32(0.6241074)), ('disappearance in snowy or slippery conditions', 'The cold and slippery conditions in the area raised concerns', np.float32(0.6849853)), ('disappearance in snowy or slippery conditions', 'was last seen leaving the community center in the snow-covered area of Dundee', np.float32(0.3820188)), ('disappearance in snowy or slippery conditions', 'Search efforts also covered snow areas around 12 South Esk Road', np.float32(0.45437437)), ('disappearance in snowy or slippery conditions', 'where he had taken shelter after losing his way in the snow', np.float32(0.5500425)), ('disappearance in snowy or slippery conditions', 'was last seen by friends strolling near East School Road', np.float32(0.2629583)), ('disappearance due to getting lost', 'but never arrived', np.float32(0.36512852)), ('disappearance due to getting lost', 'His son reported him missing when he failed to return home later that evening', np.float32(0.46277767)), ('disappearance due to getting lost', 'A broken-down vehicle was found nearby', np.float32(0.3666971)), ('disappearance due to getting lost', 'A possible boating incident led to his disappearance', np.float32(0.56105655)), ('disappearance due to getting lost', 'Since his disappearance', np.float32(0.48208207))]",253
6,0,2,3,3,5,6,3,1,0.3759773373603821,2,"{'possible sea kayaking accident', 'recent discharge from care facility', 'abduction suspicion', 'believed to be homeless', 'believed to be squatting', 'known to frequent remote areas'}","{'detour or misdirection', 'frequenting remote areas', 'unplanned departure from familiar locations', 'exploration of underground bunkers', 'squatting or homelessness'}","[('detour or misdirection', 'The reasons for her detour remain unclear', np.float32(0.5831118)), ('detour or misdirection', 'where she had taken refuge', np.float32(0.24799484)), ('exploration of underground bunkers', 'Friends reported that she had frequently talked about exploring a mysterious underground bunker rumored to be located on the outskirts of town', np.float32(0.60815847)), ('exploration of underground bunkers', 'Kelly later mentioned the allure of adventure and curiosity irresistibly drew her to the mysterious depths of the bunker', np.float32(0.44629952)), ('exploration of underground bunkers', 'She was later located in an underground bunker nearby with no injuries', np.float32(0.48468292)), ('exploration of underground bunkers', 'known to frequent remote areas', np.float32(0.17649803)), ('exploration of underground bunkers', 'Kelly was found safely in an underground bunker near 51 Grampian Court', np.float32(0.378389)), ('exploration of underground bunkers', 'Known to frequent remote areas', np.float32(0.17649806)), ('exploration of underground bunkers', 'Found in an underground bunker after 3 days', np.float32(0.5664786)), ('frequenting remote areas', 'known for frequenting remote areas', np.float32(0.8726381)), ('frequenting remote areas', 'Perth', np.float32(0.116563775)), ('frequenting remote areas', 'Her friend noted that Kelly had been talking about visiting remote areas often', np.float32(0.39803737)), ('frequenting remote areas', 'Known to frequent remote areas', np.float32(0.8408557)), ('frequenting remote areas', 'with abduction suspicion complicating matters', np.float32(0.11893037)), ('frequenting remote areas', 'though only during family outings', np.float32(0.20803072)), ('squatting or homelessness', 'It was believed she might have been squatting in an underground bunker linked to a nearby volunteer organization', np.float32(0.3588485)), ('squatting or homelessness', 'grew increasingly distressed', np.float32(0.2547612)), ('unplanned departure from familiar locations', 'a location that borders expansive and isolated landscapes', np.float32(0.32941145)), ('unplanned departure from familiar locations', 'With abduction suspicion in the air', np.float32(0.3233871))]",266
7,0,0,0,2,5,2,5,1,0.36733007431030273,5,"{'recently moved to area', 'estranged from relatives'}","{'disorientation due to dementia', 'disorientation at mountain trails', 'disorientation at isolated cabins', 'disorientation at bus stops', 'disorientation at bus stops and ferries'}","[('disorientation at bus stops', 'With the assistance of locals familiar with the area', np.float32(0.17471235)), ('disorientation at bus stops', 'causing her to disembark the bus prematurely', np.float32(0.54187554)), ('disorientation at bus stops', 'vanished after moving to 1 Goosecroft Road', np.float32(0.10013064)), ('disorientation at bus stops', 'Known for frequenting various areas', np.float32(0.25151289)), ('disorientation at bus stops', 'recalled that Annette seemed disoriented when they parted ways on Park Avenue', np.float32(0.29499108)), ('disorientation at bus stops and ferries', 'understandably disoriented but unharmed', np.float32(0.27696645)), ('disorientation at bus stops and ferries', 'The search intensified after police followed a lead placing her on the ferry', np.float32(0.36020905)), ('disorientation at bus stops and ferries', 'was last seen by a colleague boarding a ferry from Park Avenue', np.float32(0.45293105)), ('disorientation at bus stops and ferries', 'Annette was found wandering near a mountain cabin after leaving a ferry', np.float32(0.31811)), ('disorientation at bus stops and ferries', 'a bus', np.float32(0.5511347)), ('disorientation at mountain trails', 'had spoken to a colleague about visiting a mountain trail', np.float32(0.58771574)), ('disorientation at mountain trails', 'Annette was known for her occasional urge to retreat to isolated locations when stressed', np.float32(0.14778636)), ('disorientation at mountain trails', 'becoming disoriented but ultimately safe', np.float32(0.42209443)), ('disorientation at mountain trails', 'Search teams scoured the bus routes and mountain trails', np.float32(0.46212065)), ('disorientation at mountain trails', 'Concerns grew due to her reliance on others for assistance related to her disability', np.float32(0.16948332)), ('disorientation at isolated cabins', 'was last seen boarding a bus near Park Avenue', np.float32(0.13014509)), ('disorientation at isolated cabins', 'though disoriented', np.float32(0.4200276)), ('disorientation at isolated cabins', 'estranged from relatives and having recently moved to 14 The Meadows', np.float32(0.20375499)), ('disorientation at isolated cabins', 'having safely disembarked and taken refuge at a distant location', np.float32(0.39452267)), ('disorientation at isolated cabins', 'was found disoriented at a cabin', np.float32(0.6581092)), ('disorientation due to dementia', 'appearing confused likely due to her dementia', np.float32(0.5382818)), ('disorientation due to dementia', 'an 84-year-old with dementia', np.float32(0.5938239)), ('disorientation due to dementia', 'Annette with dementia wandered from the cabin', np.float32(0.48365748)), ('disorientation due to dementia', 'confused on a ferry due to dementia', np.float32(0.5135104)), ('disorientation due to dementia', 'estranged from relatives', np.float32(0.13564438))]",270
8,0,1,2,1,5,3,3,1,0.4296930432319641,6,"{'illegal employment status', 'believed to be squatting', 'noted to act erratically'}","{'unstable living conditions', 'rooftop encounters', 'disoriented ventures', 'erratic behavior', 'squatting behavior'}","[('erratic behavior', 'Known for her erratic behavior', np.float32(0.58647776)), ('erratic behavior', 'after a neighbor reported her erratic behavior', np.float32(0.48225328)), ('erratic behavior', 'Jane was last seen acting erratically on the rooftop of a building at 12 Fountain Road', np.float32(0.33165005)), ('erratic behavior', 'where she was noted to act erratically', np.float32(0.54846203)), ('erratic behavior', 'had been living a transient lifestyle since retiring', np.float32(0.26006782)), ('erratic behavior', 'possibly contributing to her erratic demeanor', np.float32(0.5319438)), ('erratic behavior', 'noted to act erratically', np.float32(0.71279144)), ('erratic behavior', 'The circumstances suggested a disoriented venture influenced by her erratic behavior', np.float32(0.5939462)), ('erratic behavior', 'noted to act erratically', np.float32(0.71279144)), ('erratic behavior', 'noted to act erratically and with an illegal employment status', np.float32(0.5291164)), ('squatting behavior', 'Known for squatting in vacated properties due to her illegal employment status', np.float32(0.4514026)), ('squatting behavior', 'an elderly woman believed to be squatting due to her illegal employment status', np.float32(0.46572596)), ('squatting behavior', 'was believed to be squatting at various locations', np.float32(0.713799)), ('squatting behavior', 'suspecting she was squatting in various locations', np.float32(0.5962775)), ('squatting behavior', 'Jane is believed to be squatting', np.float32(0.5538993)), ('disoriented ventures', 'Known for her erratic behavior', np.float32(0.24085438)), ('disoriented ventures', 'unharmed but disoriented', np.float32(0.38302603)), ('disoriented ventures', 'where she was found in relatively good condition but disoriented', np.float32(0.2744215)), ('disoriented ventures', 'The circumstances suggested a disoriented venture influenced by her erratic behavior', np.float32(0.5150771)), ('disoriented ventures', 'noted to act erratically', np.float32(0.33734226)), ('unstable living conditions', ""who repeatedly expressed concerns over Jane's unstable living conditions"", np.float32(0.41610098)), ('unstable living conditions', ""Jane's sister found her confused at a restaurant"", np.float32(-0.029634586)), ('unstable living conditions', 'acting erratically due to her dementia', np.float32(0.28380534)), ('unstable living conditions', 'became disoriented while enjoying the view and inadvertently endangered herself', np.float32(0.28716633)), ('rooftop encounters', 'Jane Black was last seen near the rooftop of a building on Bruce Street', np.float32(0.35573727)), ('rooftop encounters', 'Search efforts intensified around the rooftop area and nearby locations', np.float32(0.62730443)), ('rooftop encounters', 'Witnesses later spotted her at a rooftop party on Foundry Loan', np.float32(0.45179373)), ('rooftop encounters', 'Jane Black was reported missing after she was last seen on the rooftop of a nearby building', np.float32(0.34371674)), ('rooftop encounters', 'recalled Jane mentioning a fascination with rooftops due to their serene views', np.float32(0.5361743)), ('rooftop encounters', 'Jane was on the rooftop', np.float32(0.52801645))]",281
9,0,0,0,1,5,1,5,1,0.3668796336650848,5,{'abduction suspicion'},"{'disappearance from home', 'disappearance from public places', 'disappearance from work or school', 'disappearance from areas of interest', 'disappearance from familiar locations'}","[('disappearance from familiar locations', 'shedding light on possible abduction circumstances', np.float32(0.37481233)), ('disappearance from familiar locations', 'Victor Roberts vanished from a cafe near 1 Leonard Street', np.float32(0.34528202)), ('disappearance from familiar locations', 'Found at airport nearby', np.float32(0.3846962)), ('disappearance from familiar locations', 'staying with a kind stranger who found him wandering along the road', np.float32(0.4251209)), ('disappearance from familiar locations', 'After an extensive search in surrounding areas', np.float32(0.43107417)), ('disappearance from public places', 'Victor Roberts disappeared from home with abduction suspicion near 51 Grampian Court after casino visit', np.float32(0.302621)), ('disappearance from public places', 'It was determined that he had taken a bus journey inadvertently without notifying anyone of his whereabouts', np.float32(0.3320073)), ('disappearance from public places', 'who reported him missing after he failed to show up at home', np.float32(0.47254664)), ('disappearance from public places', 'resolving the mystery surrounding his unexplained absence', np.float32(0.37413073)), ('disappearance from public places', 'reported suspicion of abduction', np.float32(0.32947093)), ('disappearance from home', 'Victor Roberts went missing from home', np.float32(0.4432829)), ('disappearance from home', 'staying with a kind stranger who found him wandering along the road', np.float32(0.37995714)), ('disappearance from home', 'Victor Roberts was last seen at his home at 1-8 Telford Gardens', np.float32(0.20501879)), ('disappearance from home', 'went missing from his home at 1-8 Telford Gardens', np.float32(0.50379)), ('disappearance from home', 'EMPTY RECORD'), ('disappearance from work or school', 'reported suspicion of abduction', np.float32(0.3638474)), ('disappearance from work or school', 'vanished under circumstances that raised immediate concern', np.float32(0.5864104)), ('disappearance from work or school', 'having traveled on his own', np.float32(0.32494527)), ('disappearance from work or school', 'went missing from his home at 1-8 Telford Gardens', np.float32(0.3665198)), ('disappearance from work or school', 'EMPTY RECORD'), ('disappearance from areas of interest', 'focusing on the surrounding areas', np.float32(0.5140016)), ('disappearance from areas of interest', 'leading to speculation that he might have been drawn to the bustling activity around the area', np.float32(0.2994725)), ('disappearance from areas of interest', 'After an extensive search in surrounding areas', np.float32(0.5774497)), ('disappearance from areas of interest', 'who reported him missing after he failed to show up at home', np.float32(0.28160265)), ('disappearance from areas of interest', 'vanished under circumstances that raised immediate concern', np.float32(0.55393094))]",283
