5085,"Rannes Street, Insch","Street/Residential Area","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
5085,"Bridgend of Glenlivet","Rural/Farm Area","Full scale search in gorge area, found safe and well","Isolation Seeking"
31877,"Seafield Circle, Buckie","Street/Residential Area","Heated discussion about custody","Child Custody Location"
31877,"Bog Road","Street/Residential Area","Walking away, still upset, along Bog Road","Child Custody Location"
31877,"Craigour Road, Torphins","Street/Residential Area","Found on Craigour Road, Torphins","Safe Haven"
63830,"Dee Street, Banchory","Street/Residential Area","Leaving a meeting with her brother regarding child custody matters","Child Custody Location"
63830,"10 Garden Wood, Inchmarlo","Street/Residential Area","Found safe, having taken time to collect her thoughts","Safe Haven"
41082,"Inchmarlo Road, Banchory","Street/Residential Area","Last seen in the parking lot of a bingo hall on Inchmarlo Road","Child Custody Location"
41082,"10 Garden Wood, Inchmarlo","Street/Residential Area","Eventually traced to 10 Garden Wood, Inchmarlo","Safe Haven"
32833,"Craigour Road","Street/Residential Area","Disappeared from a parking lot near a physical therapy clinic on Craigour Road","Child Custody Location"
32833,"Craigour Road, Torphins","Street/Residential Area","Eventually located by police on Craigour Road, Torphins","Safe Haven"
20727,"Golden Knowes Road, Aberdeenshire","Street/Residential Area","Last seen in the parking lot at Golden Knowes Road","Child Custody Location"
20727,"Craigour Road, Torphins","Street/Residential Area","Eventually located by police on Craigour Road, Torphins","Safe Haven"
72678,"Golden Knowes Road, Aberdeenshire","Street/Residential Area","Searched the area around Golden Knowes Road","Child Custody Location"
72678,"Bridgend of Glenlivet","Rural/Farm Area","Eventually traced to the area around Bridgend of Glenlivet","Isolation Seeking"
4720,"Mar Road, Braemar","Street/Residential Area","Failed to attend a scheduled gathering at Mar Road","Child Custody Location"
4720,"10 East Cathcart Street","Street/Residential Area","Hinting she may have headed to 10 East Cathcart Street","Child Custody Location"
4720,"10 Garden Wood, Inchmarlo","Street/Residential Area","Found safe at a serene garden location, 10 Garden Wood, Inchmarlo","Safe Haven"
91768,"Golden Knowes Road, Aberdeenshire","Street/Residential Area","Last seen leaving a medical clinic's parking lot near Golden Knowes Road","Child Custody Location"
91768,"Mar Road, Braemar","Street/Residential Area","Eventually traced to Mar Road in Braemar","Safe Haven"
25127,"Pharmacy","Street/Residential Area","Last seen leaving a pharmacy","Child Custody Location"
8095,"Bingo Hall","Street/Residential Area","Last seen in the parking lot of a bingo hall","Child Custody Location"
8095,"Inchmarlo","Street/Residential Area","Found at a friend's house in Inchmarlo","Safe Haven"
69533,"Dee Street, Banchory","Street/Residential Area","Last seen near Dee Street, Banchory","Child Custody Location"
69533,"37 North High Street, AB45 2PA","Street/Residential Area","Seen walking towards 37 North High Street","Child Custody Location"
69533,"Inchmarlo","Street/Residential Area","Traced by a member of the public in Inchmarlo","Safe Haven"
58395,"Bridgend of Glenlivet, Ballindalloch","Rural/Farm Area","Last seen in the parking lot near Bridgend of Glenlivet","Child Custody Location"
58395,"Craigour Road, Torphins","Street/Residential Area","Eventually found at an address on Craigour Road, Torphins","Safe Haven"
31083,"March Road, Buckie","Street/Residential Area","Last seen on March Road, Buckie","Child Custody Location"
31083,"Bog Road","Street/Residential Area","Raised concerns about her well-being due to unclear intentions and heightened tensions within the family","Child Custody Location"
