52238,"Glenrothes","Town/City","He had expressed an intent to visit an old acquaintance in Glenrothes, but he never arrived.","Isolation Seeking"
5527,"Pitreavie Drive","Residential Area","Concern arose among those close to him, notably his grandmother Leanne Johnson, prompting an urgent search around Pitreavie Drive and other nearby spots, including Jutland Street and Pitreavie Court, before he was finally located safely.","Impulsive/Crisis Location"
5527,"Jutland Street","Residential Area","Concern arose among those close to him, notably his grandmother Leanne Johnson, prompting an urgent search around Pitreavie Drive and other nearby spots, including Jutland Street and Pitreavie Court, before he was finally located safely.","Impulsive/Crisis Location"
5527,"Pitreavie Court","Residential Area","Concern arose among those close to him, notably his grandmother Leanne Johnson, prompting an urgent search around Pitreavie Drive and other nearby spots, including Jutland Street and Pitreavie Court, before he was finally located safely.","Impulsive/Crisis Location"
32826,"34 Pettycur Bay, Kinghorn","Coastal Area","Concerns were raised about a possible boating incident as Ian was last seen near 34 Pettycur Bay, Kinghorn, an area known for its storm drains and coastal activity.","Isolation Seeking"
32826,"Storm Drains","Utility Spot","Concerns were raised about a possible boating incident as Ian was last seen near 34 Pettycur Bay, Kinghorn, an area known for its storm drains and coastal activity.","Isolation Seeking"
32719,"Leargan, Leven","Coastal Area","Known to have expressed an interest in starting a new life, it's believed he intended to leave behind his current environment.","Isolation Seeking"
32719,"61 Harley Street, Rosyth","Residential Area","Ian was later found safe by police at 61 Harley Street, Rosyth, KY11 2NE.","Impulsive/Crisis Location"
76253,"Kinghorn Road, Burntisland","Residential Area","Known to enjoy his walks, Ian was last in contact with a friend who advised he was heading toward Kinghorn Road, Burntisland, KY3 9LL, a familiar travel route for Ian.","Impulsive/Crisis Location"
76253,"Castle Road, Rosyth","Residential Area","Initial searches in Rosyth and nearby areas, including a check of the address on Castle Road, Rosyth, KY11 2AU, yielded no results.","Impulsive/Crisis Location"
76253,"7 Dollar Grove, Burntisland","Residential Area","Days later, a vigilant patrol traced Ian to 7 Dollar Grove, Burntisland, safely residing with another friend, having sought refuge from sudden inclement weather earlier.","Impulsive/Crisis Location"
77539,"Kinghorn Road, Burntisland","Residential Area","A friend mentioned Ian's recent interest in starting a new life, suggesting he might have been exploring options for a fresh start.","Isolation Seeking"
77539,"42 Mid Shore","Residential Area","A friend mentioned Ian's recent interest in starting a new life, suggesting he might have been exploring options for a fresh start.","Isolation Seeking"
77539,"Abbey Park Avenue, St Andrews","Utility Spot","A distinctive piece of clothing belonging to Ian was found near a storm drain at Abbey Park Avenue, St Andrews.","Isolation Seeking"
40368,"Coastal Trail","Coastal Area","His friend raised concerns when Ian didn't check in, as was his usual practice.","Isolation Seeking"
40368,"Storm Drain","Utility Spot","His friend raised concerns when Ian didn't check in, as was his usual practice.","Isolation Seeking"
40368,"Ocean","Body of Water","His friend raised concerns when Ian didn't check in, as was his usual practice.","Isolation Seeking"
323,"Nearby Location","Unknown","Traced later at a nearby location, the circumstances suggested he might have been attempting to reorganize his life quietly, but local staff found him before he could proceed with his plans.","Impulsive/Crisis Location"
66695,"1 Camdean Crescent, Rosyth","Residential Area","Ian was last seen leaving 1 Camdean Crescent, Rosyth.","Impulsive/Crisis Location"
66695,"39-42 Alexander Place, Rosyth","Residential Area","Ian was eventually found safe at 39-42 Alexander Place, Rosyth, having sought temporary refuge in a shelter.","Impulsive/Crisis Location"
33382,"Pitreavie Drive, Dunfermline","Residential Area","Concern arose after Ryan noticed MP's interest in a nearby travel center.","Isolation Seeking"
33382,"1 Grange House Gardens, Burntisland","Residential Area","A possible boating incident was suspected when MP's belongings were found at 1 Grange House Gardens, Burntisland.","Isolation Seeking"
77321,"39-42 Alexander Place","Residential Area","A possible boating incident and plans to sleep rough near the ocean were suspected as Ian was interested in starting a new life.","Isolation Seeking"
77321,"Train Station","Transportation Hub","A possible boating incident and plans to sleep rough near the ocean were suspected as Ian was interested in starting a new life.","Isolation Seeking"
87381,"Castlandhill Road, Rosyth","Residential Area","He was last seen by a friend on Castlandhill Road, Rosyth, heading towards a travel-related site where old docks were once operational, sparking concerns of a possible boating incident.","Isolation Seeking"
87381,"137 Admiralty Road, Rosyth","Residential Area","A thorough search led authorities to a local shelter where homeless individuals often sought refuge. Ian was eventually found by police at 137 Admiralty Road, Rosyth.","Impulsive/Crisis Location"
2370,"24 Car Craig View, Burntisland","Residential Area","It was suspected he planned to sleep rough or was involved in a possible boating incident since he often talked about adventurous getaways.","Isolation Seeking"
2370,"1 Canmore Street, Kinghorn","Residential Area","Authorities checked local sites including a pharmacy and a nearby nursing home at 1 Canmore Street, Kinghorn, KY3 9RH.","Impulsive/Crisis Location"
2370,"9 Lowry Place, Rosyth","Residential Area","He was eventually traced by police at 9 Lowry Place, Rosyth, confirming his safety.","Impulsive/Crisis Location"
11651,"Kinghorn Road, Burntisland","Residential Area","Witnesses last spotted him at the pharmacy and thereafter near Kinghorn Road, Burntisland.","Isolation Seeking"
11651,"Train Station","Transportation Hub","Witnesses last spotted him at the pharmacy and thereafter near Kinghorn Road, Burntisland.","Isolation Seeking"
82607,"39-41-43 The Temple, Lower Largo","Residential Area","His regular routine involved visits to nearby lakes and rivers.","Isolation Seeking"
82607,"St Margaret's Head, North Queensferry","Coastal Area","On this day, Ian expressed interest in exploring St Margaret's Head, North Queensferry, KY11 1HP, known for its scenic boating routes.","Isolation Seeking"
41900,"Castlandhill Road, Rosyth","Residential Area","Ian was last seen by a friend departing the bingo hall on Castlandhill Road, Rosyth, appearing disoriented.","Impulsive/Crisis Location"
41900,"9 Lowry Place","Residential Area","A search ensued, and he was later found safely by staff at 9 Lowry Place, a few miles away.","Impulsive/Crisis Location"
31104,"47 Geds Mill Close, Burntisland","Residential Area","Ian was last seen at a train station near 47 Geds Mill Close, Burntisland.","Isolation Seeking"
31104,"39 The Temple, Lower Largo","Residential Area","Reports suggest Ian was interested in starting a new life and planned to sleep rough.","Isolation Seeking"
100408,"Storm Drain","Utility Spot","Ian planned to sleep rough near a storm drain.","Isolation Seeking"
100409,"Train Station","Transportation Hub","Ian, aged 94, was found disoriented at the local train station.","Impulsive/Crisis Location"
100409,"Nearby Shelter","Residential Area","Concerned, staff escorted him to a nearby shelter, ensuring he avoids venturing near the ocean.","Impulsive/Crisis Location"
100414,"Storm Drain","Utility Spot","Ian was concerned about feeling lost, stuck near the train station, when Ryan found him near a storm drain.","Isolation Seeking"
100416,"Travel Boating","Activity","Ian involved in travel boating.","Isolation Seeking"
100418,"Ocean","Body of Water","Ian, age 94, spoke to Claire about his interest in starting a new life with his grandmother Leanne Johnson.","Isolation Seeking"
100419,"Train Station","Transportation Hub","Ian found at train station.","Impulsive/Crisis Location"
