27313,"Falkirk, West Bridge Street","Bridge/Elevated Structure","Phoned family saying she was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
72666,"Snow area near community center","Rural/Snow Area","nan","Isolation Seeking"
53022,"Snow area near 25 Slamannan Road","Rural/Snow Area","Full scale search in gorge area, found safe and well","Isolation Seeking"
8411,"Blackston Road, Avonbridge, Warehouse","Industrial/Warehouse","nan","Crisis Location"
39717,"Glensburgh Road, FK3 8XJ, Ferry","Watercraft/Ferry","nan","Crisis Location"
45492,"Well Place, Dunblane, Hiking Trail","Rural/Hiking Trail","Full scale search in gorge area, found safe and well","Isolation Seeking"
877,"25 Slamannan Road, Snow area","Rural/Snow Area","nan","Isolation Seeking"
34404,"Dumbarton Road","Urban/Street","nan","Crisis Location"
18715,"Hiking trail near coffee shop","Rural/Hiking Trail","nan","Isolation Seeking"
6050,"Well Place, Dunblane","Rural/Hiking Trail","Full scale search in gorge area, found safe and well","Isolation Seeking"
54940,"Craigs Terrace in Rumford","Rural/Residential Area","nan","Crisis Location"
101077,"Ferry","Watercraft/Ferry","nan","Crisis Location"
101078,"Snow area with limited connectivity","Rural/Snow Area","nan","Isolation Seeking"
101079,"Snowy area","Rural/Snow Area","nan","Isolation Seeking"
101083,"Creative works left behind","Rural/Hiking Trail","nan","Isolation Seeking"
