Adelaide Place, Dundee, DD3 6LE
31 Step Row, Dundee, DD2 1AH
150 Strathmartine Road, Dundee, DD3 7SE
2 Herod Hill Brae, Dundee, DD4 8FG
Discovery Quay, Dundee, DD1 4XA
Ballumbie Road, Dundee, DD4 0PD
11 Panmure Terrace, Dundee, DD5 2QL
31 Church Road, Dundee, DD2 5NN
23 City Road, Dundee, DD2 2BL
12 South Esk Road, Forfar, DD8 3SJ
King's Cross Road,  DD2 3PT
Turnberry Avenue, Dundee, DD2 3TP
541 South Road, Dundee, DD2 4FP
Unit 3 Fowler Road, Dundee, DD5 3RU
Fort Street, Dundee, DD2 1BS
484 Perth Road, Dundee, DD2 1LR
38 Forrestal Street, Brechin, DD9 7XG
Gray Den, Dundee, DD2 5LR
41 Dock Street, Dundee, DD1 3DR
296A Strathmore Avenue, Dundee, DD3 6SH
Findcastle Street, Dundee, DD4 9EW
1 Logie Street, Dundee, DD2 2QF
1 Pitfour Street, Dundee, DD2 2NT
39 Arthurstone Terrace, Dundee, DD4 6QY
New Road, Forfar, DD8 2AE
16 Cleghorn Street, Dundee, DD2 2NR
Tayside Street, Carnoustie, DD7 6AX
3 Boniface Place, Dundee, DD2 5DR
1 Alloway Place, Dundee, DD4 8UA
214 Broughty Ferry Road, Dundee, DD4 6LD
2 Dalgleish Road, Dundee, DD4 7JR
2 Alex King Way, Arbroath, DD11 2AS
10 Ancrum Road, Dundee, DD2 2HZ
28A Dura Street, Dundee, DD4 6RX
28 Railton Gardens, Arbroath, DD11 3FA
19 Dalgleish Street, Tayport, DD6 9BB
Stannergate Road, Dundee, DD1 3NA
33 Blackness Avenue, Dundee, DD2 1EY
6 Lownie Road, Forfar, DD8 2RT
22 Marine Parade Walk, Dundee, DD1 3AU
Glamis Road, Dundee, DD2 2UB
