15 Milne Gardens, Crail, KY10 3SG
2-33 Calum Macdonald Court, Rosyth, KY11 2BU
42 Mid Shore,  KY10 2NW
53 Newton Crescent, Rosyth, KY11 2QW
1 Findlay Crescent, Rosyth, KY11 2RE
Abbey Walk, St Andrews, KY16 9LB
Limekilns Road, Dunfermline, KY12 7XA
28 Cunzie Street, Anstruther, KY10 3DF
Abbey Park Avenue, St Andrews, KY16 9LQ
7 Pitreavie Court, Dunfermline, KY11 8UU
16 Oxcars Avenue, Burntisland, KY3 0AY
32 Caledonia Court, Rosyth, KY11 2ZJ
75 Nethergate, Crail, KY10 3TX
10-16 Wood Place, Rosyth, KY11 2SU
1 Parkside Square, Rosyth, KY11 2LZ
6 Kirkton Gardens, Burntisland, KY3 0DR
10 Inch View, Kinghorn, KY3 9SH
Kinghorn Road, Burntisland, KY3 9LL
1 Burnside Gardens, Burntisland, KY3 0DP
3;5 South Feus, Upper Largo, KY8 6EQ
7 Aithernie Drive, Upper Largo, KY8 6EX
Abbey Road, Newburgh, KY14 6HH
47 Geds Mill Close, Burntisland, KY3 0BF
34 Kirkton Drive, Burntisland, KY3 0DD
15 Woodside Avenue, Rosyth, KY11 2JS
Castle Road, Rosyth, KY11 2AU
3 Elder Place, Rosyth, KY11 2QU
36-42 Watson Avenue, St Andrews, KY16 8JE
35 Fowler Street, Cellardyke, KY10 3HU
1 Crossroads Place, Rosyth, KY11 2LS
39-42 Alexander Place, Rosyth, KY11 2DB
6-9 West Green, Crail, KY10 3RD
39;41;43 The Temple, Lower Largo, KY8 6JH
16 Burney Place, Rosyth, KY11 2PN
2-8 Willow Crescent, Rosyth, KY11 2ZS
5 Seamill Gardens, Burntisland, KY3 0DE
3 Seals Craig View, Burntisland, KY3 0AX
Leargan, Leven, KY8 5BJ
32 Hamilton Place, Rosyth, KY11 2PJ
1 Newton Place, Rosyth, KY11 2LX
16 Albert Street, Rosyth, KY11 2SA
5 Bow Butts, Crail, KY10 3UR
97 Backmarch Road, Rosyth, KY11 2RP
Leckerstone Farm, Dunfermline, KY11 3DL
28 Castle Street, Crail, KY10 3SJ
Lodge Rise, Glenrothes, KY7 5TG
1 Grange House Gardens, Burntisland, KY3 0DZ
28 Fairykirk Road, Rosyth, KY11 2QQ
28 Birch Avenue, Kinghorn, KY3 9YN
8 King's Place, Rosyth, KY11 2SB
Ladybank Road, Pitlessie, KY15 7SP
7 Dorran Square,  KY6 3DU
22 Nicol Drive, Burntisland, KY3 9JB
137 Admiralty Road, Rosyth, KY11 2QL
8 Camdean Lane, Rosyth, KY11 2TA
Langlands Road, St Andrews, KY16 8BN
43 Findlay Street, Rosyth, KY11 2RF
66 Kirkbank Road, Burntisland, KY3 9JA
9 Darney Terrace, Kinghorn, KY3 9RF
12 Selvage Street, Rosyth, KY11 2QA
57 King's Road, Rosyth, KY11 2TW
7 Dollar Grove, Burntisland, KY3 0JZ
23 Tod's Green, Crail, KY10 3UU
11 Lorimer Gardens, Dunfermline, KY12 0BJ
Carnegie Avenue, Dunfermline, KY11 8PJ
4 Hillwood Terrace, Rosyth, KY11 2DJ
30 Selvage Place, Rosyth, KY11 2QG
Hawkcraig Road, Aberdour, KY3 0TZ
Chapel Level, Kirkcaldy, KY2 6HF
13 Charles Logan Place, Rosyth, KY11 2QP
63 Parkside Street, Rosyth, KY11 2LU
Castlandhill Road, Rosyth, KY11 2PZ
Seaforth Place, Burntisland, KY3 9AX
1 Dick Place, Rosyth, KY11 2JG
3 Russell Grove, Burntisland, KY3 9HL
31-37 Aberlour Street, Rosyth, KY11 2SD
26 Leslie Road, Rosyth, KY11 2LB
10 Rumford, Crail, KY10 3SS
9 Kilcruik Road, Kinghorn, KY3 9XH
54 Nethergate South, Crail, KY10 3TZ
1 Kerr Court, Burntisland, KY3 0JG
Lammerlaws, Burntisland, KY3 9BS
8 Bowling Green Place, Crail, KY10 3TG
71 King's Crescent, Rosyth, KY11 2RT
9-20 John Woods Houses, Upper Largo, KY8 6HB
Lochies Road, Burntisland, KY3 9JX
Pitreavie Drive, Dunfermline, KY11 8UH
9 Lowry Place, Rosyth, KY11 2PR
1 Collinswell Drive, Burntisland, KY3 0AU
1 Craig Court, Burntisland, KY3 0AT
41 West Leven Street, Burntisland, KY3 9DZ
23 Haddow Grove, Burntisland, KY3 0DA
1 Camdean Crescent, Rosyth, KY11 2TJ
36 Parkgate, Rosyth, KY11 2JW
23 Largo Road, St Andrews, KY16 8NH
1 Primrose Avenue, Rosyth, KY11 2SX
Wood Road, Rosyth, KY11 2EA
137 Park Road West, Rosyth, KY11 2TL
School Lane, Hillend, KY11 9LE
61 Harley Street, Rosyth, KY11 2NE
24 Car Craig View, Burntisland, KY3 0DS
1 Canmore Street, Kinghorn, KY3 9RH
St Margaret's Head, North Queensferry, KY11 1HP
Dunnikier Park, Kirkcaldy, KY1 3LP
