36-42 Watson Avenue, St Andrews, KY16 8JE
31-37 Aberlour Street, Rosyth, KY11 2SD
26 Leslie Road, Rosyth, KY11 2LB
42 Mid Shore,  KY10 2NW
9 Kilcruik Road, Kinghorn, KY3 9XH
1 Fidra Avenue, Burntisland, KY3 0BE
Ladybank Road, Pitlessie, KY15 7SP
54 Nethergate South, Crail, KY10 3TZ
15 Woodside Avenue, Rosyth, KY11 2JS
3;5 South Feus, Upper Largo, KY8 6EQ
66 Kirkbank Road, Burntisland, KY3 9JA
Seaforth Place, Burntisland, KY3 9AX
35 Fowler Street, Cellardyke, KY10 3HU
10 Inch View, Kinghorn, KY3 9SH
137 Park Road West, Rosyth, KY11 2TL
24 Car Craig View, Burntisland, KY3 0DS
Wood Road, Rosyth, KY11 2EA
Lammerlaws, Burntisland, KY3 9BS
28 Castle Street, Crail, KY10 3SJ
Castlandhill Road, Rosyth, KY11 2PZ
Pitreavie Drive, Dunfermline, KY11 8UH
16 Oxcars Avenue, Burntisland, KY3 0AY
26 Bolam Drive, Burntisland, KY3 9HP
10-16 Wood Place, Rosyth, KY11 2SU
36 Parkgate, Rosyth, KY11 2JW
