East School Road, Dundee, DD3 8NX
296A Strathmore Avenue, Dundee, DD3 6SH
Stannergate Road, Dundee, DD1 3NA
31 Church Road, Dundee, DD2 5NN
Adelaide Place, Dundee, DD3 6LE
Findcastle Street, Dundee, DD4 9EW
23 City Road, Dundee, DD2 2BL
Fort Street, Dundee, DD2 1BS
28A Dura Street, Dundee, DD4 6RX
Commerce Street, Brechin, DD9 7BD
41 Dock Street, Dundee, DD1 3DR
214 Broughty Ferry Road, Dundee, DD4 6LD
22 Marine Parade Walk, Dundee, DD1 3AU
16 Cleghorn Street, Dundee, DD2 2NR
Finavon Street, Dundee, DD4 9DU
1 Pitfour Street, Dundee, DD2 2NT
St Mary's Lane, Newport-on-Tay, DD6 8AH
541 South Road, Dundee, DD2 4FP
146 Pitkerro Road, Dundee, DD4 8ER
6 Lownie Road, Forfar, DD8 2RT
Gray Den, Dundee, DD2 5LR
1 Logie Street, Dundee, DD2 2QF
150 Strathmartine Road, Dundee, DD3 7SE
Tayside Street, Carnoustie, DD7 6AX
12 South Esk Road, Forfar, DD8 3SJ
King's Cross Road,  DD2 3PT
3 Boniface Place, Dundee, DD2 5DR
38 Forrestal Street, Brechin, DD9 7XG
31 Step Row, Dundee, DD2 1AH
28 Railton Gardens, Arbroath, DD11 3FA
135 Rosebank Street, Dundee, DD3 6PP
New Road, Forfar, DD8 2AE
Discovery Quay, Dundee, DD1 4XA
33 Blackness Avenue, Dundee, DD2 1EY
2 Herod Hill Brae, Dundee, DD4 8FG
Kirsty Semple Way, Dundee, DD2 4BF
2 Dalgleish Road, Dundee, DD4 7JR
