1 Camdean Crescent, Rosyth, KY11 2TJ
1 Canmore Street, Kinghorn, KY3 9RH
30 Selvage Place, Rosyth, KY11 2QG
1 Kerr Court, Burntisland, KY3 0JG
7 Aithernie Drive, Upper Largo, KY8 6EX
42 Mid Shore,  KY10 2NW
2-33 Calum Macdonald Court, Rosyth, KY11 2BU
24 Car Craig View, Burntisland, KY3 0DS
39-42 Alexander Place, Rosyth, KY11 2DB
Abbey Road, Newburgh, KY14 6HH
3 Russell Grove, Burntisland, KY3 9HL
66 Kirkbank Road, Burntisland, KY3 9JA
34 Pettycur Bay, Kinghorn, KY3 9SB
13 Jutland Street, Rosyth, KY11 2ZL
57 King's Road, Rosyth, KY11 2TW
47 Geds Mill Close, Burntisland, KY3 0BF
34 Kirkton Drive, Burntisland, KY3 0DD
1 Dick Place, Rosyth, KY11 2JG
Leargan, Leven, KY8 5BJ
7 Pitreavie Court, Dunfermline, KY11 8UU
Castle Road, Rosyth, KY11 2AU
8 King's Place, Rosyth, KY11 2SB
St Margaret's Head, North Queensferry, KY11 1HP
39;41;43 The Temple, Lower Largo, KY8 6JH
23 Norval Place, Rosyth, KY11 2RJ
1 Primrose Avenue, Rosyth, KY11 2SX
Castlandhill Road, Rosyth, KY11 2PZ
Kinghorn Road, Burntisland, KY3 9LL
Pitreavie Drive, Dunfermline, KY11 8UH
97 Backmarch Road, Rosyth, KY11 2RP
32 Caledonia Court, Rosyth, KY11 2ZJ
Abbey Park Avenue, St Andrews, KY16 9LQ
1 Grange House Gardens, Burntisland, KY3 0DZ
28 Cunzie Street, Anstruther, KY10 3DF
