541 South Road, Dundee, DD2 4FP
6 Lownie Road, Forfar, DD8 2RT
16 Cleghorn Street, Dundee, DD2 2NR
St Mary's Lane, Newport-on-Tay, DD6 8AH
Fort Street, Dundee, DD2 1BS
Finavon Street, Dundee, DD4 9DU
41 Dock Street, Dundee, DD1 3DR
19 Dalgleish Street, Tayport, DD6 9BB
2 Alex King Way, Arbroath, DD11 2AS
1 Pitfour Street, Dundee, DD2 2NT
Discovery Quay, Dundee, DD1 4XA
Hyndford Street, Dundee, DD2 1HQ
150 Strathmartine Road, Dundee, DD3 7SE
10 Ancrum Road, Dundee, DD2 2HZ
22 Marine Parade Walk, Dundee, DD1 3AU
Tayside Street, Carnoustie, DD7 6AX
484 Perth Road, Dundee, DD2 1LR
East School Road, Dundee, DD3 8NX
Unit 3 Fowler Road, Dundee, DD5 3RU
31 Church Road, Dundee, DD2 5NN
Kirsty Semple Way, Dundee, DD2 4BF
Turnberry Avenue, Dundee, DD2 3TP
23 City Road, Dundee, DD2 2BL
Gray Den, Dundee, DD2 5LR
Ballumbie Road, Dundee, DD4 0PD
2 Herod Hill Brae, Dundee, DD4 8FG
28A Dura Street, Dundee, DD4 6RX
33 Blackness Avenue, Dundee, DD2 1EY
New Road, Forfar, DD8 2AE
Roseberry Street, Dundee, DD2 2NS
135 Rosebank Street, Dundee, DD3 6PP
King's Cross Road,  DD2 3PT
Adelaide Place, Dundee, DD3 6LE
Commerce Street, Brechin, DD9 7BD
Auldbar Road, Forfar, DD8 2PD
3 Boniface Place, Dundee, DD2 5DR
71 Lothian Crescent, Dundee, DD4 0HU
214 Broughty Ferry Road, Dundee, DD4 6LD
31 Step Row, Dundee, DD2 1AH
Findcastle Street, Dundee, DD4 9EW
Glamis Road, Dundee, DD2 2UB
146 Pitkerro Road, Dundee, DD4 8ER
28 Railton Gardens, Arbroath, DD11 3FA
1 Alloway Place, Dundee, DD4 8UA
11 Panmure Terrace, Dundee, DD5 2QL
