12 South Esk Road, Forfar, DD8 3SJ
1 Alloway Place, Dundee, DD4 8UA
Auldbar Road, Forfar, DD8 2PD
28 Railton Gardens, Arbroath, DD11 3FA
Derwent Avenue, Dundee, DD3 0AX
41 Dock Street, Dundee, DD1 3DR
East School Road, Dundee, DD3 8NX
2 Alex King Way, Arbroath, DD11 2AS
1 Pitfour Street, Dundee, DD2 2NT
541 South Road, Dundee, DD2 4FP
2 Herod Hill Brae, Dundee, DD4 8FG
Glamis Road, Dundee, DD2 2UB
Adelaide Place, Dundee, DD3 6LE
Gray Den, Dundee, DD2 5LR
214 Broughty Ferry Road, Dundee, DD4 6LD
St Mary's Lane, Newport-on-Tay, DD6 8AH
33 Blackness Avenue, Dundee, DD2 1EY
Dundee Road, Arbroath, DD11 2NQ
146 Pitkerro Road, Dundee, DD4 8ER
31 Step Row, Dundee, DD2 1AH
Finavon Street, Dundee, DD4 9DU
Stannergate Road, Dundee, DD1 3NA
71 Lothian Crescent, Dundee, DD4 0HU
Fort Street, Dundee, DD2 1BS
23 City Road, Dundee, DD2 2BL
135 Rosebank Street, Dundee, DD3 6PP
484 Perth Road, Dundee, DD2 1LR
6 Lownie Road, Forfar, DD8 2RT
38 Forrestal Street, Brechin, DD9 7XG
Turnberry Avenue, Dundee, DD2 3TP
22 Marine Parade Walk, Dundee, DD1 3AU
Commerce Street, Brechin, DD9 7BD
Hyndford Street, Dundee, DD2 1HQ
Roseberry Street, Dundee, DD2 2NS
Discovery Quay, Dundee, DD1 4XA
Ballumbie Road, Dundee, DD4 0PD
2 Dalgleish Road, Dundee, DD4 7JR
1 Logie Street, Dundee, DD2 2QF
Minto Place, Dundee, DD2 1BR
10 Ancrum Road, Dundee, DD2 2HZ
Kirsty Semple Way, Dundee, DD2 4BF
16 Cleghorn Street, Dundee, DD2 2NR
28A Dura Street, Dundee, DD4 6RX
Findcastle Street, Dundee, DD4 9EW
19 Dalgleish Street, Tayport, DD6 9BB
New Road, Forfar, DD8 2AE
Unit 3 Fowler Road, Dundee, DD5 3RU
King's Cross Road,  DD2 3PT
Tayside Street, Carnoustie, DD7 6AX
39 Arthurstone Terrace, Dundee, DD4 6QY
31 Church Road, Dundee, DD2 5NN
11 Panmure Terrace, Dundee, DD5 2QL
