12 Fyne Brae,  KY11 8XG
Castlandhill Road, Rosyth, KY11 2PZ
39-42 Alexander Place, Rosyth, KY11 2DB
41 West Leven Street, Burntisland, KY3 9DZ
Hawkcraig Road, Aberdour, KY3 0TZ
43 Findlay Street, Rosyth, KY11 2RF
3 Dove Street, Cellardyke, KY10 3AN
57 King's Road, Rosyth, KY11 2TW
Leargan, Leven, KY8 5BJ
6-9 West Green, Crail, KY10 3RD
137 Admiralty Road, Rosyth, KY11 2QL
34 Pettycur Bay, Kinghorn, KY3 9SB
1 Canmore Street, Kinghorn, KY3 9RH
23 Largo Road, St Andrews, KY16 8NH
42 Mid Shore,  KY10 2NW
39;41;43 The Temple, Lower Largo, KY8 6JH
30 Selvage Place, Rosyth, KY11 2QG
16 Oxcars Avenue, Burntisland, KY3 0AY
13 Charles Logan Place, Rosyth, KY11 2QP
School Lane, Hillend, KY11 9LE
7 Aithernie Drive, Upper Largo, KY8 6EX
1 Camdean Crescent, Rosyth, KY11 2TJ
3;5 South Feus, Upper Largo, KY8 6EQ
16 Burney Place, Rosyth, KY11 2PN
23 Tod's Green, Crail, KY10 3UU
38 Backmarch Crescent, Rosyth, KY11 2RW
47 Geds Mill Close, Burntisland, KY3 0BF
2 Dollar Road, Burntisland, KY3 0HJ
66 Kirkbank Road, Burntisland, KY3 9JA
137 Park Road West, Rosyth, KY11 2TL
Chapel Level, Kirkcaldy, KY2 6HF
36-42 Watson Avenue, St Andrews, KY16 8JE
Abbey Walk, St Andrews, KY16 9LB
Carnegie Avenue, Dunfermline, KY11 8PJ
75 Nethergate, Crail, KY10 3TX
