Gray Den, Dundee, DD2 5LR
146 Pitkerro Road, Dundee, DD4 8ER
2 Alex King Way, Arbroath, DD11 2AS
King's Cross Road,  DD2 3PT
150 Strathmartine Road, Dundee, DD3 7SE
St Mary's Lane, Newport-on-Tay, DD6 8AH
11 Panmure Terrace, Dundee, DD5 2QL
Tayside Street, Carnoustie, DD7 6AX
Derwent Avenue, Dundee, DD3 0AX
Minto Place, Dundee, DD2 1BR
Finavon Street, Dundee, DD4 9DU
10 Ancrum Road, Dundee, DD2 2HZ
28A Dura Street, Dundee, DD4 6RX
6 Lownie Road, Forfar, DD8 2RT
2 Dalgleish Road, Dundee, DD4 7JR
38 Forrestal Street, Brechin, DD9 7XG
31 Step Row, Dundee, DD2 1AH
Roseberry Street, Dundee, DD2 2NS
16 Cleghorn Street, Dundee, DD2 2NR
28 Railton Gardens, Arbroath, DD11 3FA
1 Pitfour Street, Dundee, DD2 2NT
19 Dalgleish Street, Tayport, DD6 9BB
Commerce Street, Brechin, DD9 7BD
Fort Street, Dundee, DD2 1BS
33 Blackness Avenue, Dundee, DD2 1EY
41 Dock Street, Dundee, DD1 3DR
Adelaide Place, Dundee, DD3 6LE
71 Lothian Crescent, Dundee, DD4 0HU
New Road, Forfar, DD8 2AE
12 South Esk Road, Forfar, DD8 3SJ
296A Strathmore Avenue, Dundee, DD3 6SH
31 Church Road, Dundee, DD2 5NN
Ballumbie Road, Dundee, DD4 0PD
1 Logie Street, Dundee, DD2 2QF
22 Marine Parade Walk, Dundee, DD1 3AU
Turnberry Avenue, Dundee, DD2 3TP
2 Herod Hill Brae, Dundee, DD4 8FG
541 South Road, Dundee, DD2 4FP
Unit 3 Fowler Road, Dundee, DD5 3RU
3 Boniface Place, Dundee, DD2 5DR
Discovery Quay, Dundee, DD1 4XA
23 City Road, Dundee, DD2 2BL
East School Road, Dundee, DD3 8NX
Kirsty Semple Way, Dundee, DD2 4BF
39 Arthurstone Terrace, Dundee, DD4 6QY
214 Broughty Ferry Road, Dundee, DD4 6LD
484 Perth Road, Dundee, DD2 1LR
Auldbar Road, Forfar, DD8 2PD
135 Rosebank Street, Dundee, DD3 6PP
Stannergate Road, Dundee, DD1 3NA
1 Alloway Place, Dundee, DD4 8UA
