11 Panmure Terrace, Dundee, DD5 2QL
Unit 3 Fowler Road, Dundee, DD5 3RU
Hyndford Street, Dundee, DD2 1HQ
31 Step Row, Dundee, DD2 1AH
296A Strathmore Avenue, Dundee, DD3 6SH
Tayside Street, Carnoustie, DD7 6AX
Kirsty Semple Way, Dundee, DD2 4BF
28A Dura Street, Dundee, DD4 6RX
Auldbar Road, Forfar, DD8 2PD
23 City Road, Dundee, DD2 2BL
Findcastle Street, Dundee, DD4 9EW
41 Dock Street, Dundee, DD1 3DR
6 Lownie Road, Forfar, DD8 2RT
Fort Street, Dundee, DD2 1BS
39 Arthurstone Terrace, Dundee, DD4 6QY
1 Logie Street, Dundee, DD2 2QF
3 Boniface Place, Dundee, DD2 5DR
Dundee Road, Arbroath, DD11 2NQ
214 Broughty Ferry Road, Dundee, DD4 6LD
2 Alex King Way, Arbroath, DD11 2AS
East School Road, Dundee, DD3 8NX
King's Cross Road,  DD2 3PT
Gray Den, Dundee, DD2 5LR
Adelaide Place, Dundee, DD3 6LE
Commerce Street, Brechin, DD9 7BD
146 Pitkerro Road, Dundee, DD4 8ER
12 South Esk Road, Forfar, DD8 3SJ
Ballumbie Road, Dundee, DD4 0PD
2 Dalgleish Road, Dundee, DD4 7JR
1 Alloway Place, Dundee, DD4 8UA
19 Dalgleish Street, Tayport, DD6 9BB
38 Forrestal Street, Brechin, DD9 7XG
22 Marine Parade Walk, Dundee, DD1 3AU
10 Ancrum Road, Dundee, DD2 2HZ
St Mary's Lane, Newport-on-Tay, DD6 8AH
16 Cleghorn Street, Dundee, DD2 2NR
Roseberry Street, Dundee, DD2 2NS
Finavon Street, Dundee, DD4 9DU
31 Church Road, Dundee, DD2 5NN
150 Strathmartine Road, Dundee, DD3 7SE
