23 Haddow Grove, Burntisland, KY3 0DA
9-20 John Woods Houses, Upper Largo, KY8 6HB
1 Findlay Crescent, Rosyth, KY11 2RE
Chapel Level, Kirkcaldy, KY2 6HF
8 King's Place, Rosyth, KY11 2SB
28 Birch Avenue, Kinghorn, KY3 9YN
42 Mid Shore,  KY10 2NW
66 Kirkbank Road, Burntisland, KY3 9JA
39;41;43 The Temple, Lower Largo, KY8 6JH
Wood Road, Rosyth, KY11 2EA
53 Newton Crescent, Rosyth, KY11 2QW
35 Fowler Street, Cellardyke, KY10 3HU
28 Fairykirk Road, Rosyth, KY11 2QQ
1 Primrose Avenue, Rosyth, KY11 2SX
23 Tod's Green, Crail, KY10 3UU
1 Craig Court, Burntisland, KY3 0AT
38 Backmarch Crescent, Rosyth, KY11 2RW
34 Kirkton Drive, Burntisland, KY3 0DD
Lodge Rise, Glenrothes, KY7 5TG
Leargan, Leven, KY8 5BJ
16 Albert Street, Rosyth, KY11 2SA
Abbey Road, Newburgh, KY14 6HH
Langlands Road, St Andrews, KY16 8BN
1 Parkside Square, Rosyth, KY11 2LZ
1 Kerr Court, Burntisland, KY3 0JG
Ladybank Road, Pitlessie, KY15 7SP
43 Findlay Street, Rosyth, KY11 2RF
3 Dove Street, Cellardyke, KY10 3AN
24 Car Craig View, Burntisland, KY3 0DS
1 Crossroads Place, Rosyth, KY11 2LS
2-8 Willow Crescent, Rosyth, KY11 2ZS
41 West Leven Street, Burntisland, KY3 9DZ
Limekilns Road, Dunfermline, KY12 7XA
6-10 North Feus, Upper Largo, KY8 6ER
23 Norval Place, Rosyth, KY11 2RJ
12 Selvage Street, Rosyth, KY11 2QA
Seaforth Place, Burntisland, KY3 9AX
54 Nethergate South, Crail, KY10 3TZ
Hawkcraig Road, Aberdour, KY3 0TZ
2-33 Calum Macdonald Court, Rosyth, KY11 2BU
3 Elder Place, Rosyth, KY11 2QU
75 Nethergate, Crail, KY10 3TX
Lochies Road, Burntisland, KY3 9JX
1 Dick Place, Rosyth, KY11 2JG
16 Burney Place, Rosyth, KY11 2PN
32 Caledonia Court, Rosyth, KY11 2ZJ
137 Park Road West, Rosyth, KY11 2TL
7 Dorran Square,  KY6 3DU
30 Selvage Place, Rosyth, KY11 2QG
