21 David the First Street, Kinghorn, KY3 9SR
71 King's Crescent, Rosyth, KY11 2RT
31-37 Aberlour Street, Rosyth, KY11 2SD
22 Nicol Drive, Burntisland, KY3 9JB
7 Dollar Grove, Burntisland, KY3 0JZ
32 Hamilton Place, Rosyth, KY11 2PJ
Pitreavie Drive, Dunfermline, KY11 8UH
66 Kirkbank Road, Burntisland, KY3 9JA
34 Kirkton Drive, Burntisland, KY3 0DD
Ladybank Road, Pitlessie, KY15 7SP
1 Burnside Gardens, Burntisland, KY3 0DP
36-42 Watson Avenue, St Andrews, KY16 8JE
15 Woodside Avenue, Rosyth, KY11 2JS
36 Parkgate, Rosyth, KY11 2JW
Wood Road, Rosyth, KY11 2EA
1 Findlay Crescent, Rosyth, KY11 2RE
24 Car Craig View, Burntisland, KY3 0DS
32 Caledonia Court, Rosyth, KY11 2ZJ
97 Backmarch Road, Rosyth, KY11 2RP
75 Nethergate, Crail, KY10 3TX
34 Pettycur Bay, Kinghorn, KY3 9SB
23 Largo Road, St Andrews, KY16 8NH
9 Lowry Place, Rosyth, KY11 2PR
6-10 North Feus, Upper Largo, KY8 6ER
7 Aithernie Drive, Upper Largo, KY8 6EX
Leckerstone Farm, Dunfermline, KY11 3DL
6-9 West Green, Crail, KY10 3RD
Chapel Level, Kirkcaldy, KY2 6HF
1 Kerr Court, Burntisland, KY3 0JG
1 Newton Place, Rosyth, KY11 2LX
28 Cunzie Street, Anstruther, KY10 3DF
Lochies Road, Burntisland, KY3 9JX
28 Fairykirk Road, Rosyth, KY11 2QQ
Abbey Walk, St Andrews, KY16 9LB
42 Mid Shore,  KY10 2NW
26 Leslie Road, Rosyth, KY11 2LB
41 West Leven Street, Burntisland, KY3 9DZ
13 Charles Logan Place, Rosyth, KY11 2QP
3 Dove Street, Cellardyke, KY10 3AN
9-20 John Woods Houses, Upper Largo, KY8 6HB
Burntisland Road, Kinghorn, KY3 9RZ
1 Parkside Square, Rosyth, KY11 2LZ
63 Parkside Street, Rosyth, KY11 2LU
35 Fowler Street, Cellardyke, KY10 3HU
47 Geds Mill Close, Burntisland, KY3 0BF
2-8 Willow Crescent, Rosyth, KY11 2ZS
1 Dick Place, Rosyth, KY11 2JG
