150 Strathmartine Road, Dundee, DD3 7SE
1 Logie Street, Dundee, DD2 2QF
296A Strathmore Avenue, Dundee, DD3 6SH
Unit 3 Fowler Road, Dundee, DD5 3RU
28 Railton Gardens, Arbroath, DD11 3FA
Turnberry Avenue, Dundee, DD2 3TP
23 City Road, Dundee, DD2 2BL
Adelaide Place, Dundee, DD3 6LE
Ballumbie Road, Dundee, DD4 0PD
33 Blackness Avenue, Dundee, DD2 1EY
19 Dalgleish Street, Tayport, DD6 9BB
3 Boniface Place, Dundee, DD2 5DR
71 Lothian Crescent, Dundee, DD4 0HU
Findcastle Street, Dundee, DD4 9EW
Derwent Avenue, Dundee, DD3 0AX
1 Pitfour Street, Dundee, DD2 2NT
Fort Street, Dundee, DD2 1BS
Hyndford Street, Dundee, DD2 1HQ
6 Lownie Road, Forfar, DD8 2RT
2 Dalgleish Road, Dundee, DD4 7JR
31 Church Road, Dundee, DD2 5NN
Commerce Street, Brechin, DD9 7BD
484 Perth Road, Dundee, DD2 1LR
Auldbar Road, Forfar, DD8 2PD
38 Forrestal Street, Brechin, DD9 7XG
28A Dura Street, Dundee, DD4 6RX
41 Dock Street, Dundee, DD1 3DR
22 Marine Parade Walk, Dundee, DD1 3AU
2 Herod Hill Brae, Dundee, DD4 8FG
31 Step Row, Dundee, DD2 1AH
11 Panmure Terrace, Dundee, DD5 2QL
146 Pitkerro Road, Dundee, DD4 8ER
East School Road, Dundee, DD3 8NX
Kirsty Semple Way, Dundee, DD2 4BF
Finavon Street, Dundee, DD4 9DU
135 Rosebank Street, Dundee, DD3 6PP
12 South Esk Road, Forfar, DD8 3SJ
10 Ancrum Road, Dundee, DD2 2HZ
St Mary's Lane, Newport-on-Tay, DD6 8AH
Roseberry Street, Dundee, DD2 2NS
1 Alloway Place, Dundee, DD4 8UA
Stannergate Road, Dundee, DD1 3NA
2 Alex King Way, Arbroath, DD11 2AS
Tayside Street, Carnoustie, DD7 6AX
541 South Road, Dundee, DD2 4FP
214 Broughty Ferry Road, Dundee, DD4 6LD
