71 Lothian Crescent, Dundee, DD4 0HU
541 South Road, Dundee, DD2 4FP
St Mary's Lane, Newport-on-Tay, DD6 8AH
2 Herod Hill Brae, Dundee, DD4 8FG
Roseberry Street, Dundee, DD2 2NS
1 Alloway Place, Dundee, DD4 8UA
Adelaide Place, Dundee, DD3 6LE
41 Dock Street, Dundee, DD1 3DR
28 Railton Gardens, Arbroath, DD11 3FA
Findcastle Street, Dundee, DD4 9EW
Turnberry Avenue, Dundee, DD2 3TP
2 Dalgleish Road, Dundee, DD4 7JR
East School Road, Dundee, DD3 8NX
King's Cross Road,  DD2 3PT
Finavon Street, Dundee, DD4 9DU
New Road, Forfar, DD8 2AE
3 Boniface Place, Dundee, DD2 5DR
22 Marine Parade Walk, Dundee, DD1 3AU
10 Ancrum Road, Dundee, DD2 2HZ
296A Strathmore Avenue, Dundee, DD3 6SH
Glamis Road, Dundee, DD2 2UB
Minto Place, Dundee, DD2 1BR
Dundee Road, Arbroath, DD11 2NQ
19 Dalgleish Street, Tayport, DD6 9BB
16 Cleghorn Street, Dundee, DD2 2NR
135 Rosebank Street, Dundee, DD3 6PP
Hyndford Street, Dundee, DD2 1HQ
214 Broughty Ferry Road, Dundee, DD4 6LD
1 Logie Street, Dundee, DD2 2QF
23 City Road, Dundee, DD2 2BL
38 Forrestal Street, Brechin, DD9 7XG
150 Strathmartine Road, Dundee, DD3 7SE
